cell_line,compartment,n_drugs,n_pairs,spearman_rho,p_value
A-172,G1,91,4095,0.9723800914179553,0.0
A-172,G2M,91,4095,0.905637439017509,0.0
A-427,G1,87,3741,0.9439627470503043,0.0
A-427,G2M,87,3741,0.8303098200263613,0.0
A498,G1,91,4095,0.9826481233117658,0.0
A498,G2M,91,4095,0.9146864073871392,0.0
A549,G1,92,4186,0.9793777663493284,0.0
A549,G2M,92,4186,0.8956670075352728,0.0
AN3 CA,G1,64,2016,0.811022978732528,0.0
AN3 CA,G2M,64,2016,0.9045520276632436,0.0
AsPC-1,G1,72,2556,0.9981169089169424,0.0
AsPC-1,G2M,72,2556,0.9180295919517907,0.0
BT-474,G1,89,3916,0.9869896733617267,0.0
BT-474,G2M,89,3916,0.8822549658232978,0.0
C-33 A,G1,90,4005,0.8782137688564565,0.0
C-33 A,G2M,90,4005,0.9521530939045117,0.0
C32,G1,88,3828,0.9857912125813851,0.0
C32,G2M,88,3828,0.9114925186462633,0.0
CFPAC-1,G1,92,4186,0.9942627760284161,0.0
CFPAC-1,G2M,92,4186,0.8582806256612612,0.0
COLO 205,G1,37,666,0.9965763917472276,0.0
COLO 205,G2M,37,666,0.8416981714385645,7.032749145072112e-180
H4,G1,57,1596,0.9613227945443409,0.0
H4,G2M,57,1596,0.8657173493580687,0.0
HCT15,G1,83,3403,0.8646645503532224,0.0
HCT15,G2M,83,3403,0.8933330607641852,0.0
HEC-1-A,G1,91,4095,0.8813282192257139,0.0
HEC-1-A,G2M,91,4095,0.9692569021873337,0.0
HOP62,G1,92,4186,0.9825758725615391,0.0
HOP62,G2M,92,4186,0.9381172204288972,0.0
HS-578T,G1,86,3655,0.9939217240980683,0.0
HS-578T,G2M,86,3655,0.9047926892220569,0.0
HT-29,G1,91,4095,0.9874776011218058,0.0
HT-29,G2M,91,4095,0.8440062222942847,0.0
HepG2/C3A,G1,39,741,0.9968845937068381,0.0
HepG2/C3A,G2M,39,741,0.872328833302021,7.466236051782554e-232
Hs 766T,G1,64,2016,0.9797075897644452,0.0
Hs 766T,G2M,64,2016,0.8383757059441163,0.0
J82,G1,90,4005,0.9209256391578415,0.0
J82,G2M,90,4005,0.9717145308202543,0.0
KATO III,G1,91,4095,0.9782678770784458,0.0
KATO III,G2M,91,4095,0.9143048047788596,0.0
LOX-IMVI,G1,91,4095,0.9871818368808055,0.0
LOX-IMVI,G2M,91,4095,0.905106213943985,0.0
LS 180,G1,89,3916,0.973607649328172,0.0
LS 180,G2M,89,3916,0.9014417621614595,0.0
LoVo,G1,92,4186,0.996489193112951,0.0
LoVo,G2M,92,4186,0.9167156833668185,0.0
MIA PaCa-2,G1,76,2850,0.9925745103038389,0.0
MIA PaCa-2,G2M,76,2850,0.9235275977840914,0.0
NCI-H1573,G1,78,3003,0.9961453147504878,0.0
NCI-H1573,G2M,78,3003,0.8857305080227037,0.0
NCI-H1792,G1,48,1128,0.9971992325139758,0.0
NCI-H1792,G2M,48,1128,0.7947913983680915,1.784712852370338e-246
NCI-H2030,G1,92,4186,0.9834273218230978,0.0
NCI-H2030,G2M,92,4186,0.9346360991095194,0.0
NCI-H23,G1,91,4095,0.9856571489678341,0.0
NCI-H23,G2M,91,4095,0.9426549989928752,0.0
NCI-H2347,G1,92,4186,0.9883932245963792,0.0
NCI-H2347,G2M,92,4186,0.9634646318840466,0.0
NCI-H460,G1,92,4186,0.9766921217849105,0.0
NCI-H460,G2M,92,4186,0.8928844598428306,0.0
PANC-1,G1,92,4186,0.9817745888205746,0.0
PANC-1,G2M,92,4186,0.9590237577012244,0.0
Panc 03.27,G1,90,4005,0.9914544069508253,0.0
Panc 03.27,G2M,90,4005,0.9479352248664573,0.0
RKO,G1,91,4095,0.9562729965264541,0.0
RKO,G2M,91,4095,0.9232117789118601,0.0
RPMI-7951,G1,61,1830,0.9923249705767011,0.0
RPMI-7951,G2M,61,1830,0.8412465141039084,0.0
SHP-77,G1,86,3655,0.9529027801926189,0.0
SHP-77,G2M,86,3655,0.930615649929874,0.0
SK-MEL-2,G1,87,3741,0.9816022789303347,0.0
SK-MEL-2,G2M,87,3741,0.9319429979355397,0.0
SNU-1,G1,68,2278,0.9682738856645519,0.0
SNU-1,G2M,68,2278,0.8233319721958737,0.0
SNU-423,G1,91,4095,0.9936780581780312,0.0
SNU-423,G2M,91,4095,0.8849455529503216,0.0
SW 900,G1,88,3828,0.986685421647602,0.0
SW 900,G2M,88,3828,0.8396961810217732,0.0
SW1417,G1,92,4186,0.9781561032840708,0.0
SW1417,G2M,92,4186,0.9544841011158818,0.0
SW48,G1,87,3741,0.9617730019585597,0.0
SW48,G2M,87,3741,0.9405960821805037,0.0
SW480,G1,91,4095,0.9622684270266859,0.0
SW480,G2M,91,4095,0.9608651471637891,0.0
hTERT-HPNE,G1,78,3003,0.9916079918311008,0.0
hTERT-HPNE,G2M,78,3003,0.8846608006803917,0.0
