seed,candidate,candidate_type,mean_based_coverage,cell_level_coverage,energy_score,cosine_score,nn_threshold,n_minority_cells
0,covers-both,key,0.984342,0.7,-0.182402,0.905218,21.987248,120
0,majority-only,key,0.965561,0.791667,-0.241919,0.932739,21.987248,120
0,minority-only,key,0.993952,0.758333,-0.405375,0.440261,21.987248,120
0,distractor:Meprednisone,distractor,0.988803,0.55,-0.732721,0.094212,21.987248,120
0,"distractor:Patupilone (EPO906, Epothilone B)",distractor,0.985681,0.5,-0.774263,0.22384,21.987248,120
0,distractor:Quercetin,distractor,0.988599,0.591667,-0.718592,0.084749,21.987248,120
0,distractor:Maraviroc,distractor,0.98741,0.375,-0.825724,-0.035701,21.987248,120
0,distractor:Lomustine,distractor,0.986382,0.466667,-0.780333,0.05697,21.987248,120
0,distractor:Lapatinib (GW-572016) Ditosylate,distractor,0.987968,0.375,-0.988047,-0.237794,21.987248,120
0,distractor:YM155 (Sepantronium Bromide),distractor,0.982387,0.708333,-0.77405,0.597883,21.987248,120
0,distractor:Azacitidine,distractor,0.923752,0.308333,-1.698402,0.358001,21.987248,120
0,distractor:Disulfiram,distractor,0.984729,0.558333,-0.729273,0.172886,21.987248,120
0,distractor:CYC116,distractor,0.989477,0.516667,-1.158918,-0.390147,21.987248,120
0,distractor:Valproic acid sodium salt (Sodium valproate),distractor,0.987444,0.341667,-0.823561,-0.01825,21.987248,120
0,distractor:Fasudil (HA-1077) HCl,distractor,0.986814,0.466667,-0.714846,0.199397,21.987248,120
0,distractor:PD98059,distractor,0.987894,0.425,-0.835497,-0.058948,21.987248,120
0,distractor:Pelitinib (EKB-569),distractor,0.979904,0.483333,-0.839972,0.290439,21.987248,120
0,distractor:UNC0379,distractor,0.978529,0.391667,-0.793663,0.509444,21.987248,120
0,distractor:PJ34,distractor,0.986374,0.4,-0.693811,0.269757,21.987248,120
0,distractor:BMS-536924,distractor,0.985743,0.483333,-0.724712,0.331441,21.987248,120
0,"distractor:Luminespib (AUY-922, NVP-AUY922)",distractor,0.954045,0.566667,-1.357931,0.232965,21.987248,120
0,distractor:MK-5108 (VX-689),distractor,0.973073,0.475,-0.896032,0.497133,21.987248,120
0,distractor:(+)-JQ1,distractor,0.946936,0.616667,-0.896938,0.704179,21.987248,120
0,distractor:Glesatinib?(MGCD265),distractor,0.952806,0.766667,-1.834232,0.027861,21.987248,120
0,distractor:PHA-680632,distractor,0.946234,0.3,-1.627573,0.180671,21.987248,120
0,distractor:PFI-1 (PF-6405761),distractor,0.948252,0.533333,-0.834404,0.737888,21.987248,120
0,distractor:Alisertib (MLN8237),distractor,0.968024,0.566667,-1.387526,0.057936,21.987248,120
0,distractor:Tranylcypromine (2-PCPA) HCl,distractor,0.984835,0.633333,-0.676174,0.38036,21.987248,120
0,distractor:Capecitabine,distractor,0.987922,0.375,-0.789923,-0.049882,21.987248,120
0,distractor:SRT3025 HCl,distractor,0.987406,0.241667,-0.798439,0.004469,21.987248,120
0,distractor:S3I-201,distractor,0.987402,0.391667,-0.646719,0.300869,21.987248,120
0,distractor:Crizotinib (PF-02341066),distractor,0.969269,0.575,-1.450468,0.019016,21.987248,120
0,distractor:BRD4770,distractor,0.988994,0.591667,-0.772757,0.012828,21.987248,120
0,distractor:Navitoclax (ABT-263),distractor,0.978811,0.65,-1.105713,0.009707,21.987248,120
0,distractor:Zileuton,distractor,0.9871,0.558333,-0.816135,-0.013259,21.987248,120
0,distractor:Rigosertib (ON-01910),distractor,0.968926,0.308333,-1.096869,0.26012,21.987248,120
0,distractor:ZM 447439,distractor,0.990037,0.466667,-1.466719,-0.4225,21.987248,120
0,distractor:Barasertib (AZD1152-HQPA),distractor,0.986869,0.425,-0.972593,-0.183381,21.987248,120
0,distractor:Enzastaurin (LY317615),distractor,0.972486,0.483333,-0.868616,0.278953,21.987248,120
0,distractor:Epothilone A,distractor,0.986066,0.616667,-0.825064,0.139737,21.987248,120
0,distractor:MLN8054,distractor,0.986995,0.266667,-1.102453,-0.154436,21.987248,120
0,distractor:Sirtinol,distractor,0.984457,0.541667,-0.844521,0.018321,21.987248,120
0,distractor:Toremifene Citrate,distractor,0.988229,0.358333,-0.860495,-0.003105,21.987248,120
1,covers-both,key,0.984536,0.65,-0.175276,0.920938,22.355237,120
1,majority-only,key,0.970491,0.65,-0.203575,0.941121,22.355237,120
1,minority-only,key,0.993896,0.616667,-0.527004,0.293033,22.355237,120
1,distractor:Epothilone A,distractor,0.985705,0.591667,-0.802814,0.212863,22.355237,120
1,distractor:Amisulpride,distractor,0.988484,0.391667,-0.820251,0.002512,22.355237,120
1,distractor:Prednisone,distractor,0.987766,0.35,-0.777449,0.107064,22.355237,120
1,distractor:SNS-314,distractor,0.984492,0.625,-1.029463,-0.09543,22.355237,120
1,distractor:JNJ-7706621,distractor,0.952258,0.608333,-1.520088,0.526821,22.355237,120
