cell_line,query_drug,gdsc_drug,n_cand,query_magnitude,query_auc,energy_rho,energy_rho_uncentered,mean_cosine_ctrl_rho,mean_cosine_ctrl_rho_uncentered,mean_cosine_raw_rho,mean_cosine_raw_rho_uncentered,magnitude_only_rho,magnitude_only_rho_uncentered,magnitude_match_rho,magnitude_match_rho_uncentered,potency_match_rho,potency_match_rho_uncentered,energy_rho_partial_magmatch,oracle_vs_potencymatch_rho
A549,(+)-JQ1,JQ1,33,4.064007736029228,0.734237,-0.5207219251336899,-0.3044786096256685,0.001002673796791444,0.0731951871657754,-0.44986631016042783,-0.1985294117647059,0.7162433155080214,0.5581550802139037,0.6470588235294118,0.5120320855614974,0.7870989304812834,0.6557486631016043,-0.21390374331550804,0.7870989304812834
A549,A-366,A-366,33,1.624025655156508,0.970873,0.6834893048128343,0.6042780748663102,0.42413101604278075,0.2449866310160428,0.6079545454545454,0.5407754010695187,-0.6858288770053477,-0.6226604278074866,0.6467245989304814,0.591577540106952,0.8272058823529412,0.597927807486631,0.21056149732620322,0.8272058823529412
A549,ABT-737,ABT737,33,2.4893666447442526,0.901474,-0.04712566844919786,-0.2108957219251337,0.17179144385026737,0.2560160427807487,0.05681818181818182,-0.134024064171123,0.13736631016042783,0.40641711229946526,-0.18181818181818182,-0.14572192513368984,0.2092245989304813,0.07921122994652408,0.03258962157279564,0.2092245989304813
A549,AZ 960,AZ960,33,3.5690972314147826,0.747144,-0.015374331550802138,0.1467245989304813,0.2737299465240642,0.3355614973262032,-0.023729946524064172,0.14037433155080214,0.6273395721925134,0.49799465240641716,0.5989304812834225,0.47092245989304815,0.7042112299465241,0.6644385026737968,0.0411096256684492,0.7042112299465241
A549,Alisertib (MLN8237),Alisertib,33,2.701220216948174,0.756616,-0.2717245989304813,-0.14705882352941177,0.39371657754010697,0.38870320855614976,-0.2877673796791444,-0.15708556149732622,0.7042112299465241,0.5858957219251337,0.2362967914438503,0.20153743315508021,0.6624331550802139,0.6758021390374332,-0.34425133689839577,0.6624331550802139
A549,Avagacestat (BMS-708163),Avagacestat,33,1.5065784845759154,0.950203,0.6597593582887701,0.48161764705882354,0.13001336898395724,0.003008021390374332,0.6136363636363636,0.45788770053475936,-0.6768048128342247,-0.4939839572192514,0.6657754010695187,0.5103609625668449,0.7500000000000001,0.5889037433155081,-0.0250668449197861,0.7500000000000001
A549,BMS-536924,BMS-536924,33,3.199908565421629,0.731017,-0.1233288770053476,-0.10294117647058824,-0.021056149732620322,0.22560160427807488,-0.034090909090909095,0.05113636363636364,0.10862299465240642,0.2847593582887701,0.428475935828877,0.5882352941176471,0.23161764705882354,0.46390374331550804,-0.09525401069518717,0.23161764705882354
A549,BMS-754807,BMS-754807,33,3.4351461476696152,0.744667,-0.07419786096256685,0.02573529411764706,0.31951871657754016,0.39371657754010697,-0.080548128342246,0.02306149732620321,0.7172459893048129,0.6109625668449198,0.6681149732620322,0.5792112299465241,0.696524064171123,0.6547459893048129,-0.024398395721925134,0.696524064171123
A549,Bosutinib (SKI-606),Bosutinib,33,2.9253404853716316,0.92871,0.5294117647058824,-0.1677807486631016,-0.12633689839572193,-0.013034759358288772,0.4715909090909091,-0.22225935828877005,-0.6808155080213905,0.09024064171122995,-0.2667112299465241,0.14338235294117646,0.5691844919786097,-0.21189839572192515,0.5350935828877006,0.5691844919786097
A549,Cediranib (AZD2171),Cediranib,33,2.9932613010239097,0.830452,0.5868983957219251,0.3145053475935829,0.1179812834224599,0.2309491978609626,0.40340909090909094,0.38669786096256686,-0.5127005347593584,-0.05314171122994653,0.05247326203208557,0.4097593582887701,-0.27941176470588236,0.10762032085561499,0.580548128342246,-0.27941176470588236
A549,Crizotinib (PF-02341066),Crizotinib,33,3.077783898620598,0.849685,-0.20421122994652408,-0.12433155080213903,0.4946524064171123,0.49131016042780756,0.008021390374331552,0.08021390374331552,0.6473930481283422,0.5578208556149733,0.42413101604278075,0.3663101604278075,0.2259358288770054,0.28308823529411764,-0.2613636363636364,0.2259358288770054
A549,Dasatinib,Dasatinib,33,2.588717260319786,0.769314,0.5160427807486632,0.3235294117647059,-0.01270053475935829,0.09859625668449198,0.34792780748663105,0.22493315508021391,-0.5167112299465241,-0.27540106951871657,0.17245989304812834,0.23262032085561501,-0.38168449197860965,-0.16042780748663105,0.5030080213903744,-0.38168449197860965
A549,Entinostat (MS-275),Entinostat,33,5.823067397511505,0.826391,-0.29946524064171126,-0.30648395721925137,0.10929144385026739,0.08489304812834225,-0.0661764705882353,-0.042446524064171126,0.5665106951871658,0.5377673796791445,0.5665106951871658,0.5377673796791445,0.4535427807486631,0.5106951871657754,-0.09792780748663102,0.4535427807486631
A549,"Fluorouracil (5-Fluoracil, 5-FU)",5-Fluorouracil,33,4.5428372872188785,0.760524,-0.1804812834224599,0.008021390374331552,0.080548128342246,0.3592914438502674,-0.11363636363636365,0.0822192513368984,0.5073529411764707,0.5885695187165776,0.5284090909090909,0.5775401069518717,0.2306149732620321,0.44652406417112306,-0.11864973262032086,0.2306149732620321
A549,Fulvestrant,Fulvestrant,33,1.4579323694174582,0.977923,0.6634358288770054,0.5691844919786097,0.39471925133689845,0.3917112299465241,0.5782085561497327,0.46423796791443855,-0.6754679144385027,-0.5711898395721925,0.6634358288770054,0.5437834224598931,0.8111631016042781,0.5711898395721925,0.11764705882352942,0.8111631016042781
A549,GSK-LSD1 2HCl,GSK-LSD1-2HCl ,33,1.5074151564547704,0.97398,0.6550802139037434,0.5661764705882353,0.034759358288770054,0.09324866310160429,0.5598262032085563,0.48796791443850274,-0.681149732620321,-0.565173796791444,0.6681149732620322,0.5524732620320856,0.8078208556149733,0.5648395721925135,0.01270053475935829,0.8078208556149733
A549,Lenalidomide (CC-5013),Lenalidomide,33,1.3488657555158323,0.972176,0.6644385026737968,0.4408422459893049,0.15441176470588236,0.019719251336898398,0.6066176470588236,0.3723262032085562,-0.6671122994652406,-0.4451871657754011,0.6671122994652406,0.4451871657754011,0.8298796791443851,0.5123663101604279,0.04779411764705883,0.8298796791443851
A549,"Luminespib (AUY-922, NVP-AUY922)",Luminespib,33,1.9753613731372248,0.509277,-0.5581550802139037,-0.5010026737967915,0.26036096256684493,0.2710561497326203,-0.5501336898395722,-0.4822860962566845,0.7182486631016044,0.6490641711229947,-0.6062834224598931,-0.5197192513368984,0.9087566844919788,0.7560160427807487,-0.1985294117647059,0.9087566844919788
A549,Navitoclax (ABT-263),Navitoclax,33,3.854141764698048,0.873974,0.365975935828877,-0.07286096256684492,0.008689839572192513,0.021056149732620322,0.43516042780748665,0.09024064171122995,-0.33990641711229946,0.2142379679144385,-0.2663770053475936,0.23863636363636365,0.4475267379679144,0.16510695187165778,0.20020053475935828,0.4475267379679144
