cell_line,query_drug,n_cand,query_magnitude,query_auc,energy_rho,delta_cosine_rho,magsim_rho,magonly_rho,energy_vs_candmag_rho
A549,(+)-JQ1,48,2.5340707444881674,0.734237,0.5167173252279634,0.12136343899261832,0.36745549283543205,0.7612896222318714,-0.48306556665219286
A549,A-366,48,0.9963007353118192,0.970873,0.7770299609205384,-0.1355840208423795,-0.6811767260095527,0.7634607034303083,-0.9664567954841511
A549,ABT-737,48,0.8760556767220684,0.901474,0.6934433347807208,0.036691272253582284,-0.789622231871472,0.7649804602692141,-0.9634172818063396
A549,AR-42,48,4.877026410344196,0.755386,0.0022796352583586625,0.2196048632218845,0.6964828484585324,0.7648719062092922,0.1778115501519757
A549,AZ 960,48,1.4385465711208214,0.747144,0.5240990013026487,-0.21634824142422926,-0.11387320885801129,0.7682370820668692,-0.679656969170647
A549,AZD1480,48,1.4721448275464635,0.848406,0.4383412939643943,-0.017368649587494574,-0.06600086843247936,0.7646547980894486,-0.6443768996960486
A549,Alisertib (MLN8237),48,2.5404282362231663,0.756616,0.3329353017802866,-0.04027355623100304,0.3802648719062093,0.7628093790707772,-0.5249674337820235
A549,Avagacestat (BMS-708163),48,0.729644979954167,0.950203,0.731545809813287,-0.23534520191055144,-0.7687798523664784,0.7687798523664784,-0.9857794181502388
A549,BMS-536924,48,1.3000713347314277,0.731017,0.6020408163265306,0.0449413808076422,-0.2960269214068606,0.7754016500217107,-0.794398610508033
A549,BMS-754807,48,1.536814870947552,0.744667,0.41413373860182373,-0.16055145462440296,-0.05796786799826314,0.766283108988276,-0.6064915327833261
A549,Belinostat (PXD101),48,3.357925325278008,0.652181,0.2802865827181937,0.18519322622666087,0.5386452453321754,0.7558619192357794,-0.1276595744680851
A549,Bosutinib (SKI-606),48,1.2697509125664568,0.92871,0.6519756838905775,0.10236647850629613,-0.27648719062092925,0.7630264871906209,-0.9361702127659575
A549,CUDC-101,48,1.847092861477419,0.854612,0.6199522362136343,0.21157186278766824,0.1532783326096396,0.768454190186713,-0.6172383847155885
A549,Cediranib (AZD2171),48,1.0806755814519973,0.830452,0.7311115935735996,0.19420321320017367,-0.5866261398176292,0.7689969604863222,-0.8863438992618323
A549,Crizotinib (PF-02341066),48,1.2941778188229949,0.849685,0.4996743378202345,0.30438558402084237,-0.27279635258358664,0.7635692574902302,-0.6389491966999566
A549,Dacinostat (LAQ824),48,7.410774040773619,0.59779,-0.12874511506730352,0.19648284845853234,0.7552105948762483,0.7552105948762483,0.31024750325662176
A549,Dasatinib,48,1.6249312179418953,0.769314,0.6199522362136343,0.3389057750759878,0.013569257490230134,0.7648719062092922,-0.7881024750325663
A549,Entinostat (MS-275),48,2.0327165874690354,0.826391,0.6701042118975249,0.16880156317846287,0.24305254016500216,0.7642205818497612,-0.7058184976118106
A549,Enzastaurin (LY317615),48,0.9687583243007382,0.956163,0.7124402952670429,-0.1562092922275293,-0.7218844984802432,0.7644376899696049,-0.9735128093790707
A549,"Fedratinib (SAR302503, TG101348)",48,1.2977104996657596,0.967362,0.7016934433347808,0.32359965262700824,-0.2286148501953973,0.7770299609205384,-0.9026270082501086
A549,Flavopiridol HCl,48,1.9387771768109778,0.8239,0.5281155015197568,0.11528441163699521,0.21786799826313502,0.7642205818497612,-0.6191923577941815
A549,"Fluorouracil (5-Fluoracil, 5-FU)",48,1.4328213036540611,0.760524,0.6371037776812853,0.036148501953973074,-0.10692574902301347,0.7651975683890576,-0.7869083803734258
A549,Fulvestrant,48,0.8120652853252277,0.977923,0.7521710811984368,-0.1413373860182371,-0.7773556231003039,0.7638949196699957,-0.968519322622666
A549,GSK-LSD1 2HCl,48,0.829397374269011,0.97398,0.7714937038645245,-0.2426183239253148,-0.7724706904038212,0.7632435953104645,-0.9748154580981329
A549,IOX2,48,0.7163765612677808,0.936284,0.7583586626139818,-0.34042553191489366,-0.773881893182805,0.773881893182805,-0.9844767694311767
A549,Lenalidomide (CC-5013),48,0.7555059465914883,0.972176,0.7327399044724273,-0.33467216673903605,-0.7675857577073383,0.7637863656100737,-0.9772036474164134
A549,Linifanib (ABT-869),48,0.9749034575258052,0.979196,0.7424012158054711,0.13178462874511507,-0.7090751194094659,0.7679114198871038,-0.9800260529743812
A549,"Luminespib (AUY-922, NVP-AUY922)",48,1.397723698579559,0.509277,0.6358183843631181,0.18747286148501954,-0.19724272687798522,0.7788753799392097,-0.7913262955121991
A549,Navitoclax (ABT-263),48,1.2364485009540005,0.873974,0.6837820234476768,0.09031697785497177,-0.31936604429005644,0.7631350412505428,-0.8913373860182371
A549,Nilotinib (AMN-107),48,0.8062445581054911,0.960452,0.7283977420755535,-0.41228831958315243,-0.7818063395570993,0.7668258792878853,-0.9726443768996961
A549,Obatoclax Mesylate (GX15-070),48,1.0123210350985155,0.671246,0.77594442032132,0.1432913590968302,-0.7516283108988276,0.7955927051671733,-0.941272253582284
A549,PCI-34051,48,1.2140557711831952,0.943246,0.7562961354754666,0.06285280069474598,-0.3389057750759878,0.766283108988276,-0.8673469387755102
A549,PD173074,48,0.7513118665372921,0.959716,0.7422926617455493,-0.1245115067303517,-0.7716022579244463,0.76769431176726,-0.9792661745549284
A549,PFI-1 (PF-6405761),48,1.1551976046170642,0.881062,0.6947459834997829,0.14893617021276598,-0.4265089014329136,0.7644376899696049,-0.8691923577941816
A549,Panobinostat (LBH589),48,8.823115261089974,0.530702,-0.14730785931393833,0.18530178028658276,0.7549934867564047,0.7549934867564047,0.3645245332175423
A549,Pelitinib (EKB-569),48,1.3740003194260966,0.985549,0.5912939643942684,0.4790490664350847,-0.10540599218410766,0.797112462006079,-0.8040599218410768
A549,"Rucaparib (AG-014699,PF-01367338) phosphate",48,0.9879681709083954,0.981276,0.6302648719062092,-0.04722101606600087,-0.6898610508033,0.7685627442466348,-0.8380373425966131
