condition,query,n_cand,query_magnitude,energy_rho,mean_cosine_ctrl_rho,magnitude_match_rho,magnitude_only_rho,energy_rho_partial_magmatch
Co-culture,A2M,218,0.6651994585990906,0.4069737743597644,0.30462178912113436,0.2846666037323888,-0.32075226925369016,0.2973627255716063
Co-culture,ACSL3,218,0.9002617001533508,0.27254333996364666,0.26618245882679303,-0.05011672764148774,-0.24333847425302704,0.2841662183081992
Co-culture,ACTA2,218,0.718226432800293,0.3361217465536243,0.26006895357477317,0.21351689293083967,-0.24792997383980367,0.25461220419200203
Co-culture,AEBP1,218,0.613659679889679,0.1257038841839403,0.07194720007135125,0.18321925047591633,-0.1826725330680055,0.002318336635452423
Co-culture,AGA,218,0.5558793544769287,0.41274743820254434,0.3259692506207038,0.3528973995594986,-0.3532356230406638,0.23129331678509313
Co-culture,AHNAK,218,0.6307087540626526,0.0368982233706138,-0.041122531301598625,0.03208316127758128,-0.021275067775004933,-0.00106737307497847
Co-culture,APOC2,218,0.6080499291419983,0.18789878083176334,0.14389382099290599,0.19965320510184636,-0.20878987229167836,0.010340719616788162
Co-culture,APOD,218,0.5482000708580017,0.19250302171406333,0.14007143233590225,0.2789874608277556,-0.2790546422041515,-0.04726731064263041
Co-culture,APOE,218,0.5718942880630493,0.3543209497593343,0.13878456148804433,0.2986090559337082,-0.29979167981819327,0.19524471685076872
Co-culture,ARMC6,218,0.6379634737968445,0.04152793615915963,0.01416542487297797,0.09853712552898093,-0.10251820123022999,-0.048956111449270236
Co-culture,ATP1B1,218,0.7513635754585266,0.3945614359208395,0.5054419810629599,0.06701052720585127,-0.23356705888621385,0.42236410105237304
Co-culture,ATP5MD,218,0.9929284453392029,0.44028762895494156,0.4998612936237345,0.2971704478391632,0.1775516905672135,0.3950757209401454
Co-culture,B2M,218,1.1882648468017578,-0.0675572446137621,-0.03455613090870341,-0.22529911639115544,0.049292018331249354,-0.15330616348587944
Co-culture,BOLA2,218,0.7670034170150757,0.22035781032728333,0.07329893569641893,0.15517334242984615,-0.29733260978218756,0.14310154407127249
Co-culture,BOLA2B,218,0.9199755787849426,0.26048130822989235,0.602270035542423,-0.2668241568013325,-0.06194759968471085,0.2746959608355742
Co-culture,BZW2,218,0.7155343294143677,0.35719247788444963,0.34477424451356914,0.2151802111464328,-0.29003763894527557,0.2975202543162586
Co-culture,C19orf48,218,0.5544043779373169,0.2923565547305245,0.21229604515978454,0.3024870429711774,-0.3016959243491369,0.06031555555812955
Co-culture,C1QBP,218,0.9340029358863831,0.2560230130963143,0.2939793324603615,0.012527589248431515,-0.23800682122630334,0.2558817005459645
Co-culture,C6orf226,218,0.7221844792366028,0.35372405117839817,0.282725293614468,0.2603029300925655,-0.331503606076208,0.240572454824868
Co-culture,CCND1,218,1.2758285999298096,0.44322391842327624,0.573715633975012,0.1614872335114605,-0.035240685968184984,0.5142577992655222
Co-culture,CCND2,218,0.864077627658844,0.40480543752160947,0.3202553587282797,0.08587922757633339,-0.3552522226321315,0.3977988832833623
Co-culture,CCR10,218,0.6398138999938965,0.296059638529446,0.21138330508047576,0.23612110948884815,-0.267950024005759,0.18859607718676824
Co-culture,CCT3,218,1.6131011247634888,0.35256912372005716,0.34899624653016875,-0.29409284582047857,-0.24349252809890023,0.2687805248139626
Co-culture,CD151,218,0.6303340196609497,0.10293406059125274,-0.1989292678562017,0.2971322239525931,-0.32361674414725694,-0.14637142382240026
Co-culture,CD274,218,0.5578572154045105,0.04861441306932597,0.2586720442655772,-0.09898770407067016,0.10048886034323891,0.18391886343010733
Co-culture,CD44,218,0.5722664594650269,0.08510895834696748,0.040735659237526124,0.14552123192111516,-0.14345714204633314,-0.01911252243481524
Co-culture,CD47,218,0.7020401358604431,-0.1261463546284783,-0.10376453159233183,-0.10304406924546626,0.15122817401598104,-0.05801517256636911
Co-culture,CD58,218,0.5106639862060547,0.215093463248327,0.19157638203963817,0.20772423666608944,-0.20772423666608944,0.0883151316204785
Co-culture,CD59,218,0.5421205759048462,0.028925636586977582,0.1136158696310642,-0.010270063341613244,0.010454232976905242,0.056836023580663114
Co-culture,CD63,218,1.337819218635559,0.302324881028153,0.4803532118778989,0.2114435366593134,-0.010005971034402077,0.4097004116017604
Co-culture,CDC123,218,1.12227201461792,0.32317195710353286,0.19578216786193528,-0.0727556931872872,-0.2783133304646113,0.2843272219516305
Co-culture,CDH19,218,0.5771263837814331,0.248597805542881,0.16038800719767365,0.27485580617941247,-0.272480133714105,0.01910325603807099
Co-culture,CDK4,218,0.8265645503997803,0.3954081529233454,0.4658559341715175,0.12063400686524167,-0.22339834675899084,0.3943471504961286
Co-culture,CDK6,218,1.4834989309310913,0.4173625634096633,0.36903830438839175,0.01986773376947174,-0.1609578905974451,0.42283784558592286
Co-culture,CDKN1A,218,0.6711167097091675,0.15218613184870808,-5.79149796515719e-07,0.22870220059548182,-0.2764287770267492,-0.024883171007297866
Co-culture,CDKN2A,218,0.5886900424957275,0.33678776881961736,0.391487308800934,0.297644192372713,-0.30000828184209016,0.21546283624713244
Co-culture,CDKN2B,218,1.0218801498413086,0.11064946437331068,0.22250413947317055,-0.3500143918724434,-0.13116989996345566,0.10622823482670968
Co-culture,CGAS,218,0.6346340179443359,0.1978450994371243,0.4831296560023953,-0.021070048747038373,0.03121327828321467,0.33761826962782093
Co-culture,CHCHD2,218,0.7410352230072021,0.3344619032368103,0.2291805783274038,0.20850956379016475,-0.3251989813913379,0.2520280377999489
Co-culture,CITED1,218,0.6670958399772644,0.2706233794664756,0.36664062423081667,-0.006249605454201123,0.01593762325031607,0.37565798656256644
Co-culture,CKS1B,218,0.8160303235054016,0.28248205069993143,0.26047551673192715,0.14115328415579362,-0.27599325637976935,0.26701875113296175
Co-culture,CMSS1,218,0.7211745381355286,0.3805170533553333,0.22266398481700891,0.2851287652700083,-0.36264680723404424,0.23275972406987094
Co-culture,CORO1A,218,0.6549556851387024,0.2969990194993945,0.29133493448947073,0.2065809949677674,-0.23194543945596982,0.1974396945795633
Co-culture,CSPG4,218,0.622101366519928,0.44272005810030757,0.4765597807107211,0.28643069401257565,-0.3110665680567613,0.384448322174082
Co-culture,CST3,218,0.7326251864433289,0.33965687691155627,0.2595164446688971,0.24468789327890866,-0.324023307304411,0.19985127433225475
Co-culture,CTPS1,218,2.2995290756225586,0.4571466795315141,0.5259033433738604,-0.12372087528067047,0.004495939870351526,0.4499397394636725
Co-culture,CTSA,218,0.6856689453125,-0.0955440793805877,0.020589354415930326,-0.11369231740420427,0.14384864730877778,-0.010600178725627206
Co-culture,CTSB,218,0.7078710198402405,0.09227999112742512,0.3563954643304536,-0.04613333534105263,0.03038741067338326,0.1455675639048364
Co-culture,CTSD,218,1.2263702154159546,0.32718083199501463,0.3290792850279932,-0.08692633040843381,-0.3066430219109742,0.2850523174968682
Co-culture,CTSL,218,1.0908507108688354,0.23192343176370223,0.09398732472755345,-0.08387189438160991,-0.3609649562249626,0.18625978690762388
Co-culture,CTSO,218,0.7090763449668884,0.46530921676360665,0.4542092317635864,0.2238940989848083,-0.29694110451974287,0.4350775973854862
Co-culture,CXCR4,218,0.6550030708312988,0.2296994965450819,0.22893849371246022,0.2799187337005529,-0.30628626563632055,-0.01443878357693339
Co-culture,CYP27A1,218,0.8186804056167603,0.24539329773106483,0.3439171028147259,0.08235220531555265,-0.09551512189076192,0.25408981107554485
Co-culture,DAG1,218,0.7203963398933411,0.3055982356780599,0.09771241621874255,0.2319303815612604,-0.3155399210850487,0.18176210958788278
Co-culture,DDR1,218,0.6867432594299316,0.3123499640058401,0.27418051751667516,0.25324309407303885,-0.29541678225531354,0.20782037553231103
Co-culture,DDX17,218,0.8764804005622864,0.265444621986032,0.32350786398551196,-0.026957685578417167,-0.21341496256665288,0.28211950292731264
Co-culture,DDX39A,218,0.9398745894432068,-0.03343896063430961,0.26076277503099893,-0.14596254406606016,0.18139956181526393,-0.03132215844495963
Co-culture,DLL3,218,0.7715709805488586,0.2793790469913711,0.25993806572076056,0.1558243068011298,-0.2403824936916108,0.24534580744775053
