cell_line,query_drug,query_auc,query_ic50,n_candidates,dart_top1_drug,dart_top1_auc,mean_top1_drug,mean_top1_auc,most_potent_drug,most_potent_auc,dart_spearman_rho,dart_spearman_p,mean_spearman_rho,mean_spearman_p,dart_hit1,mean_hit1,dart_hit3,mean_hit3
A549,(+)-JQ1,0.734237,0.948596,48,Panobinostat (LBH589),0.530702,PFI-1 (PF-6405761),0.881062,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.5167173252279634,0.00016993106134708522,-0.537559704732957,8.150088586350813e-05,0,0,0,0
A549,A-366,0.970873,5.243601,48,Panobinostat (LBH589),0.530702,Ruxolitinib (INCB018424),0.942,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7770299609205384,8.407306659484462e-11,-0.7708423795049935,1.4671687808327256e-10,0,0,0,0
A549,ABT-737,0.901474,3.138285,48,Panobinostat (LBH589),0.530702,Lenalidomide (CC-5013),0.972176,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.6934433347807208,4.670584973211204e-08,-0.6909465914025185,5.458838569005103e-08,0,0,0,0
A549,AR-42,0.755386,0.745735,48,Alisertib (MLN8237),0.756616,Belinostat (PXD101),0.652181,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.0022796352583586625,0.9877310419366878,-0.0692574902301346,0.6399675841757764,0,0,0,0
A549,AZ 960,0.747144,1.080371,48,Panobinostat (LBH589),0.530702,AZD1480,0.848406,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.5240990013026487,0.0001317115304137728,-0.5232305688232739,0.00013576058716415523,0,0,0,0
A549,AZD1480,0.848406,0.936345,48,Panobinostat (LBH589),0.530702,ZM 447439,0.828413,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.4383412939643943,0.0018318513734659771,-0.41261398176291797,0.0035638187796185384,0,0,0,0
A549,Alisertib (MLN8237),0.756616,0.653686,48,Panobinostat (LBH589),0.530702,AZD1480,0.848406,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.3329353017802866,0.02076447155985077,-0.37255753365175853,0.009114302301083904,0,0,0,0
A549,Avagacestat (BMS-708163),0.950203,4.355388,48,Panobinostat (LBH589),0.530702,Lenalidomide (CC-5013),0.972176,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.731545809813287,3.5027579712246283e-09,-0.723295701259227,6.362440996127282e-09,0,0,0,0
A549,BMS-536924,0.731017,0.9162,48,Panobinostat (LBH589),0.530702,ABT-737,0.901474,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.6020408163265306,5.992922894950923e-06,-0.5592705167173252,3.594732935494864e-05,0,0,0,0
A549,BMS-754807,0.744667,1.054832,48,Panobinostat (LBH589),0.530702,"Rucaparib (AG-014699,PF-01367338) phosphate",0.981276,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.41413373860182373,0.0034312759598063933,-0.38189318280503687,0.0073964869399102415,0,0,0,0
A549,Belinostat (PXD101),0.652181,1.295436,48,Panobinostat (LBH589),0.530702,Trichostatin A (TSA),0.7418,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.2802865827181937,0.053660373071038076,-0.23143725575336518,0.11347814697560991,0,0,0,0
