sp_drug,gdsc_drug,cell_line,gdsc_cell_line,gdsc_source,match_method,AUC,LN_IC50,DRUG_ID
(+)-JQ1,JQ1,A549,A549,GDSC2,normalized_name_exact,0.734237,0.948596,2172
(+)-JQ1,JQ1,K562,K-562,GDSC2,normalized_name_exact,0.892312,2.42795,2172
(+)-JQ1,JQ1,MCF7,MCF7,GDSC2,normalized_name_exact,0.679716,0.46772,2172
A-366,A-366,A549,A549,GDSC2,normalized_name_exact,0.970873,5.243601,2157
A-366,A-366,K562,K-562,GDSC2,normalized_name_exact,0.967305,4.095786,2157
A-366,A-366,MCF7,MCF7,GDSC2,normalized_name_exact,0.9825,6.430509,2157
ABT-737,ABT737,A549,A549,GDSC2,normalized_name_exact,0.901474,3.138285,1910
ABT-737,ABT737,K562,K-562,GDSC2,normalized_name_exact,0.853671,1.91914,1910
ABT-737,ABT737,MCF7,MCF7,GDSC2,normalized_name_exact,0.894256,3.182304,1910
AR-42,AR-42,A549,A549,GDSC1,normalized_name_exact,0.755386,0.745735,272
AR-42,AR-42,K562,K-562,GDSC1,normalized_name_exact,0.433041,-1.56929,272
AR-42,AR-42,MCF7,MCF7,GDSC1,normalized_name_exact,0.924158,2.319012,272
AZ 960,AZ960,A549,A549,GDSC2,normalized_name_exact,0.747144,1.080371,1250
AZ 960,AZ960,K562,K-562,GDSC2,normalized_name_exact,0.881096,2.269065,1250
AZ 960,AZ960,MCF7,MCF7,GDSC2,normalized_name_exact,0.969584,5.486831,1250
AZD1480,AZD1480,A549,A549,GDSC1,normalized_name_exact,0.848406,0.936345,1432
AZD1480,AZD1480,K562,K-562,GDSC1,normalized_name_exact,0.839407,0.60041,1432
AZD1480,AZD1480,MCF7,MCF7,GDSC1,normalized_name_exact,0.823823,0.425003,1432
Alisertib (MLN8237),Alisertib,A549,A549,GDSC2,normalized_name_exact,0.756616,0.653686,1051
Alisertib (MLN8237),Alisertib,K562,K-562,GDSC2,normalized_name_exact,0.889695,2.050588,1051
Alisertib (MLN8237),Alisertib,MCF7,MCF7,GDSC2,normalized_name_exact,0.945417,4.081386,1051
Avagacestat (BMS-708163),Avagacestat,A549,A549,GDSC2,normalized_name_exact,0.950203,4.355388,1072
Avagacestat (BMS-708163),Avagacestat,K562,K-562,GDSC2,normalized_name_exact,0.980039,4.716153,1072
Avagacestat (BMS-708163),Avagacestat,MCF7,MCF7,GDSC2,normalized_name_exact,0.97997,6.202299,1072
BMS-536924,BMS-536924,A549,A549,GDSC2,normalized_name_exact,0.731017,0.9162,1091
BMS-536924,BMS-536924,K562,K-562,GDSC2,normalized_name_exact,0.890638,2.403518,1091
BMS-536924,BMS-536924,MCF7,MCF7,GDSC2,normalized_name_exact,0.927373,3.918289,1091
BMS-754807,BMS-754807,A549,A549,GDSC2,normalized_name_exact,0.744667,1.054832,2171
BMS-754807,BMS-754807,K562,K-562,GDSC2,normalized_name_exact,0.933815,3.151979,2171
BMS-754807,BMS-754807,MCF7,MCF7,GDSC2,normalized_name_exact,0.827285,2.12003,2171
Belinostat (PXD101),Belinostat,A549,A549,GDSC1,normalized_name_exact,0.652181,1.295436,274
Belinostat (PXD101),Belinostat,K562,K-562,GDSC1,normalized_name_exact,0.354895,-0.721114,274
Belinostat (PXD101),Belinostat,MCF7,MCF7,GDSC1,normalized_name_exact,0.901229,3.34176,274
Bosutinib (SKI-606),Bosutinib,A549,A549,GDSC2,normalized_name_exact,0.92871,2.122376,1019
Bosutinib (SKI-606),Bosutinib,K562,K-562,GDSC2,normalized_name_exact,0.612954,-1.887658,1019
Bosutinib (SKI-606),Bosutinib,MCF7,MCF7,GDSC2,normalized_name_exact,0.977086,4.364155,1019
CUDC-101,CUDC-101,A549,A549,GDSC1,normalized_name_exact,0.854612,1.725244,273
CUDC-101,CUDC-101,K562,K-562,GDSC1,normalized_name_exact,0.460299,-1.393724,273
CUDC-101,CUDC-101,MCF7,MCF7,GDSC1,normalized_name_exact,0.911969,2.129716,273
Cediranib (AZD2171),Cediranib,A549,A549,GDSC2,normalized_name_exact,0.830452,2.035706,1922
Cediranib (AZD2171),Cediranib,K562,K-562,GDSC2,normalized_name_exact,0.839265,1.751866,1922
Cediranib (AZD2171),Cediranib,MCF7,MCF7,GDSC2,normalized_name_exact,0.920564,3.747169,1922
Crizotinib (PF-02341066),Crizotinib,A549,A549,GDSC2,normalized_name_exact,0.849685,1.686823,1083
Crizotinib (PF-02341066),Crizotinib,K562,K-562,GDSC2,normalized_name_exact,0.768596,0.372622,1083
Crizotinib (PF-02341066),Crizotinib,MCF7,MCF7,GDSC2,normalized_name_exact,0.946725,3.984103,1083
Dacinostat (LAQ824),Dacinostat,A549,A549,GDSC1,normalized_name_exact,0.59779,-2.068814,200
Dacinostat (LAQ824),Dacinostat,K562,K-562,GDSC1,normalized_name_exact,0.469534,-2.943911,200
Dacinostat (LAQ824),Dacinostat,MCF7,MCF7,GDSC1,normalized_name_exact,0.348357,-3.727426,200
Dasatinib,Dasatinib,A549,A549,GDSC2,normalized_name_exact,0.769314,-0.520102,1079
Dasatinib,Dasatinib,K562,K-562,GDSC2,normalized_name_exact,0.204693,-5.70066,1079
Dasatinib,Dasatinib,MCF7,MCF7,GDSC2,normalized_name_exact,0.983128,4.730117,1079
Entinostat (MS-275),Entinostat,A549,A549,GDSC2,normalized_name_exact,0.826391,1.983329,1593
Entinostat (MS-275),Entinostat,K562,K-562,GDSC2,normalized_name_exact,0.905502,2.630706,1593
Entinostat (MS-275),Entinostat,MCF7,MCF7,GDSC2,normalized_name_exact,0.93085,3.625943,1593
Enzastaurin (LY317615),Enzastaurin,A549,A549,GDSC1,normalized_name_exact,0.956163,4.745311,229
Enzastaurin (LY317615),Enzastaurin,K562,K-562,GDSC1,normalized_name_exact,0.692338,1.492621,229
Enzastaurin (LY317615),Enzastaurin,MCF7,MCF7,GDSC1,normalized_name_exact,0.969649,4.627988,229
"Fedratinib (SAR302503, TG101348)",Fedratinib,A549,A549,GDSC1,normalized_name_exact,0.967362,4.626978,306
"Fedratinib (SAR302503, TG101348)",Fedratinib,K562,K-562,GDSC1,normalized_name_exact,0.762607,1.344092,306
"Fedratinib (SAR302503, TG101348)",Fedratinib,MCF7,MCF7,GDSC1,normalized_name_exact,0.985682,4.897841,306
Flavopiridol HCl,Flavopiridol,A549,A549,GDSC1,normalized_name_exact,0.8239,0.693558,432
Flavopiridol HCl,Flavopiridol,K562,K-562,GDSC1,normalized_name_exact,0.610383,-1.119571,432
Flavopiridol HCl,Flavopiridol,MCF7,MCF7,GDSC1,normalized_name_exact,0.444326,-2.186185,432
"Fluorouracil (5-Fluoracil, 5-FU)",5-Fluorouracil,A549,A549,GDSC2,normalized_name_substr,0.760524,2.22749,1073
"Fluorouracil (5-Fluoracil, 5-FU)",5-Fluorouracil,K562,K-562,GDSC2,normalized_name_substr,0.967441,5.180899,1073
"Fluorouracil (5-Fluoracil, 5-FU)",5-Fluorouracil,MCF7,MCF7,GDSC2,normalized_name_substr,0.860799,3.627995,1073
Fulvestrant,Fulvestrant,A549,A549,GDSC2,normalized_name_exact,0.977923,3.386527,1200
Fulvestrant,Fulvestrant,K562,K-562,GDSC2,normalized_name_exact,0.9906,3.328126,1200
Fulvestrant,Fulvestrant,MCF7,MCF7,GDSC2,normalized_name_exact,0.815628,-0.33635,1200
GSK1070916,GSK1070916,K562,K-562,GDSC1,normalized_name_exact,0.922582,1.649476,226
GSK1070916,GSK1070916,MCF7,MCF7,GDSC1,normalized_name_exact,0.978619,4.227585,226
GSK-LSD1 2HCl,GSK-LSD1-2HCl ,A549,A549,GDSC2,normalized_name_exact,0.97398,3.12326,2154
GSK-LSD1 2HCl,GSK-LSD1-2HCl ,K562,K-562,GDSC2,normalized_name_exact,0.959105,1.502932,2154
GSK-LSD1 2HCl,GSK-LSD1-2HCl ,MCF7,MCF7,GDSC2,normalized_name_exact,0.971199,3.278646,2154
IOX2,IOX2,A549,A549,GDSC1,normalized_name_exact,0.936284,-0.928455,1230
IOX2,IOX2,K562,K-562,GDSC1,normalized_name_exact,0.971812,-0.387384,1230
IOX2,IOX2,MCF7,MCF7,GDSC1,normalized_name_exact,0.984007,0.150997,1230
Lenalidomide (CC-5013),Lenalidomide,A549,A549,GDSC2,normalized_name_exact,0.972176,5.317709,1020
Lenalidomide (CC-5013),Lenalidomide,K562,K-562,GDSC2,normalized_name_exact,0.984845,5.054076,1020
Lenalidomide (CC-5013),Lenalidomide,MCF7,MCF7,GDSC2,normalized_name_exact,0.98008,6.211602,1020
Linifanib (ABT-869),Linifanib,A549,A549,GDSC1,normalized_name_exact,0.979196,2.920696,277
Linifanib (ABT-869),Linifanib,K562,K-562,GDSC1,normalized_name_exact,0.984369,2.594029,277
Linifanib (ABT-869),Linifanib,MCF7,MCF7,GDSC1,normalized_name_exact,0.980808,2.281546,277
"Luminespib (AUY-922, NVP-AUY922)",Luminespib,A549,A549,GDSC2,normalized_name_exact,0.509277,-4.059148,1559
"Luminespib (AUY-922, NVP-AUY922)",Luminespib,K562,K-562,GDSC2,normalized_name_exact,0.657193,-2.747725,1559
"Luminespib (AUY-922, NVP-AUY922)",Luminespib,MCF7,MCF7,GDSC2,normalized_name_exact,0.717916,-2.268572,1559
Navitoclax (ABT-263),Navitoclax,A549,A549,GDSC2,normalized_name_exact,0.873974,2.24637,1011
Navitoclax (ABT-263),Navitoclax,K562,K-562,GDSC2,normalized_name_exact,0.879968,1.904837,1011
Navitoclax (ABT-263),Navitoclax,MCF7,MCF7,GDSC2,normalized_name_exact,0.859172,2.138467,1011
Nilotinib (AMN-107),Nilotinib,A549,A549,GDSC2,normalized_name_exact,0.960452,3.132755,1013
Nilotinib (AMN-107),Nilotinib,K562,K-562,GDSC2,normalized_name_exact,0.411218,-3.444128,1013
Nilotinib (AMN-107),Nilotinib,MCF7,MCF7,GDSC2,normalized_name_exact,0.876889,2.442312,1013
Obatoclax Mesylate (GX15-070),Obatoclax Mesylate,A549,A549,GDSC2,normalized_name_exact,0.671246,0.342464,1068
Obatoclax Mesylate (GX15-070),Obatoclax Mesylate,K562,K-562,GDSC2,normalized_name_exact,0.836853,1.724757,1068
Obatoclax Mesylate (GX15-070),Obatoclax Mesylate,MCF7,MCF7,GDSC2,normalized_name_exact,0.693005,0.606982,1068
PCI-34051,PCI-34051,A549,A549,GDSC2,normalized_name_exact,0.943246,4.131528,1621
PCI-34051,PCI-34051,K562,K-562,GDSC2,normalized_name_exact,0.985863,5.138615,1621
PCI-34051,PCI-34051,MCF7,MCF7,GDSC2,normalized_name_exact,0.97438,5.78268,1621
PD173074,PD173074,A549,A549,GDSC2,normalized_name_exact,0.959716,4.372899,1049
PD173074,PD173074,K562,K-562,GDSC2,normalized_name_exact,0.980083,4.461042,1049
PD173074,PD173074,MCF7,MCF7,GDSC2,normalized_name_exact,0.983312,6.172561,1049
PFI-1 (PF-6405761),PFI-1,A549,A549,GDSC2,normalized_name_exact,0.881062,2.774144,2173
PFI-1 (PF-6405761),PFI-1,K562,K-562,GDSC2,normalized_name_exact,0.951003,3.565527,2173
PFI-1 (PF-6405761),PFI-1,MCF7,MCF7,GDSC2,normalized_name_exact,0.902744,3.350785,2173
Panobinostat (LBH589),Panobinostat,A549,A549,GDSC1,normalized_name_exact,0.530702,-2.537043,438
Panobinostat (LBH589),Panobinostat,K562,K-562,GDSC1,normalized_name_exact,0.342774,-3.775234,438
