separation_scale,cells_per_source,seed,n_total,ari_kmeans_k2,acc_kmeans_k2,k_kmeans_k2,ari_gmm_k2,acc_gmm_k2,k_gmm_k2,ari_leiden,acc_leiden,k_leiden,ari_hdbscan,acc_hdbscan,k_hdbscan,probe_linear_acc,probe_linear_auc,probe_linear_ari,probe_forest_acc,probe_forest_auc,probe_forest_ari,probe_knn_acc,probe_knn_auc,probe_knn_ari,probe_acc,probe_auc,probe_ari
1.0,50,0,100,0.022626262626262626,0.59,2,0.02253052028359068,0.59,2,0.03538211702180011,0.62,4,0.0,0.5,0,0.61,0.6916,0.03869371961747095,0.62,0.6354,0.0482322985016159,0.53,0.7046,-0.002634564016246478,0.62,0.7046,0.0482322985016159
1.0,50,1,100,0.1855841739300754,0.72,2,0.1681622859101649,0.71,2,0.09893410813003799,0.69,4,0.0,0.5,0,0.67,0.7472000000000001,0.10657915681976808,0.72,0.7598,0.18644731049550797,0.56,0.6390000000000001,0.005657823938954199,0.72,0.7598,0.18644731049550797
1.0,50,2,100,0.030346561321601725,0.6,2,0.030219914776901603,0.6,2,0.022562436481925154,0.59,2,0.0,0.5,0,0.69,0.7716,0.1358422193112398,0.6,0.7172000000000001,0.03045734991675644,0.5,0.7004,-0.0015539260913902783,0.69,0.7716,0.1358422193112398
1.0,50,3,100,0.05855067497276855,0.63,2,0.05855067497276855,0.63,2,0.0908051488215985,0.67,4,0.0,0.5,0,0.62,0.7296,0.04804584190420218,0.61,0.6528,0.03869371961747095,0.56,0.6576,0.00708249890099155,0.62,0.7296,0.04804584190420218
1.0,50,4,100,0.06954279933426884,0.64,2,0.06954279933426884,0.64,2,0.03404154263791247,0.62,3,0.0,0.5,0,0.62,0.6876,0.04799921633932507,0.64,0.6928,0.07051344743276283,0.59,0.6166,0.02300904451271005,0.64,0.6928,0.07051344743276283
1.0,50,5,100,0.12142123036264865,0.68,2,0.08074805415311274,0.65,2,0.0985794813979707,0.69,4,0.0,0.5,0,0.64,0.6904,0.06901111818582553,0.6,0.6696000000000001,0.031216361679224973,0.52,0.595,-0.0032806054503524214,0.64,0.6904,0.06901111818582553
1.0,50,6,100,0.1359550515951869,0.69,2,0.047983673469387755,0.62,2,0.1617314684398441,0.74,3,0.0,0.5,0,0.76,0.802,0.2631475859367349,0.64,0.73,0.06974012626633387,0.54,0.5776,-0.0036732295033793712,0.76,0.802,0.2631475859367349
1.0,50,7,100,0.08080808080808081,0.65,2,0.048123541030705694,0.62,2,0.1523007686291211,0.73,3,0.0,0.5,0,0.8,0.8632,0.3534799431846011,0.68,0.7682000000000001,0.12094799725785917,0.63,0.7271999999999998,0.06277185501066099,0.8,0.8632,0.3534799431846011
1.0,50,8,100,0.1679993142885131,0.71,2,0.15210688591983557,0.7,2,0.10307935011985495,0.67,4,0.0,0.5,0,0.71,0.8324,0.1681622859101649,0.68,0.7770000000000001,0.12073272273105745,0.63,0.6588,0.05827405947381952,0.71,0.8324,0.1681622859101649
1.0,50,9,100,0.09330002938583602,0.66,2,0.0492410037338377,0.62,2,0.045167177481064406,0.64,4,0.003290759807115861,0.56,2,0.65,0.6859999999999999,0.0810181123791726,0.62,0.6656,0.0492410037338377,0.59,0.6347999999999998,0.02463252813313295,0.65,0.6859999999999999,0.0810181123791726
