drug,n_cells,silhouette,variance_ratio,centroid_cosine,cluster_size_ratio,cluster_sizes,ARI,silhouette_true_labels,variance_ratio_true_labels
Busulfan ,480,0.0356,0.0351,-0.848,0.791,"[212, 268]",,,
UNC0379,480,0.0337,0.0318,-0.8128,0.6783,"[286, 194]",,,
JNJ-26854165 (Serdemetan),480,0.0333,0.0354,-0.7828,0.9124,"[229, 251]",,,
"Roscovitine (Seliciclib,CYC202)",480,0.0302,0.0316,-0.8463,0.9917,"[239, 241]",,,
AMG-900,480,0.0349,0.0388,-0.5817,0.8321,"[218, 262]",,,
Linifanib (ABT-869),480,0.0316,0.0328,-0.8376,0.9124,"[229, 251]",,,
XAV-939,480,0.0262,0.0277,-0.8398,0.9753,"[237, 243]",,,
TGX-221,480,0.0294,0.0308,-0.7996,0.92,"[230, 250]",,,
Alisertib (MLN8237),480,0.038,0.0386,-0.56,0.8824,"[225, 255]",,,
ZM 447439,480,0.0364,0.038,-0.8373,0.92,"[250, 230]",,,
Clevudine ,480,0.0247,0.0251,-0.8151,0.6552,"[190, 290]",,,
PCI-34051,480,0.0273,0.0293,-0.8089,0.92,"[230, 250]",,,
Mesna ,480,0.0377,0.023,-0.7801,0.4286,"[336, 144]",,,
Resveratrol,480,0.0307,0.0297,-0.8277,0.7266,"[278, 202]",,,
Aminoglutethimide ,480,0.0349,0.0343,-0.8798,0.7518,"[206, 274]",,,
Ofloxacin,480,0.0346,0.0362,-0.8473,0.9753,"[237, 243]",,,
SNS-314,480,0.0452,0.0441,-0.7718,0.8533,"[221, 259]",,,
ENMD-2076 L-(+)-Tartaric acid ,480,0.0332,0.0344,-0.6898,0.7455,"[275, 205]",,,
Lomustine ,480,0.0287,0.0304,-0.8269,0.8605,"[222, 258]",,,
NVP-BSK805 2HCl,480,0.0317,0.0331,-0.7824,0.9592,"[245, 235]",,,
CONTROLLED_HDAC_JAK_a0.7,400,0.044,0.0488,,,,0.0527,0.0055,0.0115
