drug_i,drug_j,energy_raw,energy_delta,ratio
(+)-JQ1,A-366,0.5681018829345703,0.5680656433105469,1.0000637947822584
(+)-JQ1,ABT-737,0.6282424926757812,0.6282081604003906,1.0000546511133646
(+)-JQ1,AC480 (BMS-599626),0.5983104705810547,0.5982799530029297,1.0000510088596013
(+)-JQ1,AG-14361,0.5683021545410156,0.5682697296142578,1.0000570590426836
(+)-JQ1,AG-490 (Tyrphostin B42),0.49706268310546875,0.4970226287841797,1.0000805885264963
(+)-JQ1,AICAR (Acadesine),0.5615081787109375,0.5614757537841797,1.0000577494692144
(+)-JQ1,AMG-900,1.0212688446044922,1.0212364196777344,1.0000317506564915
(+)-JQ1,AZ 960,0.5075473785400391,0.5075149536132812,1.0000638895987732
(+)-JQ1,Alendronate sodium trihydrate,0.5424880981445312,0.5424575805664062,1.0000562579991843
A-366,ABT-737,0.12125587463378906,0.12122344970703125,1.0002674806469884
A-366,AC480 (BMS-599626),0.11838150024414062,0.11835289001464844,1.000241736635993
A-366,AG-14361,0.11176490783691406,0.11173439025878906,1.0002731260989057
A-366,AG-490 (Tyrphostin B42),0.13284873962402344,0.1328144073486328,1.0002584981258886
A-366,AICAR (Acadesine),0.11464118957519531,0.11461067199707031,1.0002662716969828
A-366,AMG-900,0.2850456237792969,0.2850189208984375,1.0000936880989346
A-366,AZ 960,0.13137435913085938,0.13134384155273438,1.000232348755482
A-366,Alendronate sodium trihydrate,0.11666297912597656,0.11663436889648438,1.0002452984464432
ABT-737,AC480 (BMS-599626),0.12105369567871094,0.12102699279785156,1.0002206357461427
ABT-737,AG-14361,0.1259765625,0.1259479522705078,1.0002271591476988
ABT-737,AG-490 (Tyrphostin B42),0.1461944580078125,0.1461620330810547,1.0002218423353473
ABT-737,AICAR (Acadesine),0.12018203735351562,0.12015342712402344,1.0002381141360426
ABT-737,AMG-900,0.2409496307373047,0.2409210205078125,1.0001187535626068
ABT-737,AZ 960,0.1503620147705078,0.15033340454101562,1.0001903118576976
ABT-737,Alendronate sodium trihydrate,0.1175994873046875,0.11757278442382812,1.0002271178741766
AC480 (BMS-599626),AG-14361,0.12683677673339844,0.12681198120117188,1.000195529885991
AC480 (BMS-599626),AG-490 (Tyrphostin B42),0.14003562927246094,0.14000701904296875,1.0002043485368646
AC480 (BMS-599626),AICAR (Acadesine),0.11629295349121094,0.11626815795898438,1.0002132615899473
AC480 (BMS-599626),AMG-900,0.26039886474609375,0.2603740692138672,1.0000952304209918
AC480 (BMS-599626),AZ 960,0.1360931396484375,0.13606834411621094,1.0001822285145572
AC480 (BMS-599626),Alendronate sodium trihydrate,0.12489891052246094,0.12487602233886719,1.0001832872569534
AG-14361,AG-490 (Tyrphostin B42),0.13914871215820312,0.13911819458007812,1.000219364391675
AG-14361,AICAR (Acadesine),0.11148452758789062,0.11145782470703125,1.0002395783421179
AG-14361,AMG-900,0.3005962371826172,0.3005695343017578,1.0000888409429831
AG-14361,AZ 960,0.1369647979736328,0.13693809509277344,1.0001949996517863
AG-14361,Alendronate sodium trihydrate,0.121307373046875,0.12128257751464844,1.0002044443046534
AG-490 (Tyrphostin B42),AICAR (Acadesine),0.1413421630859375,0.1413116455078125,1.000215959399633
AG-490 (Tyrphostin B42),AMG-900,0.32262611389160156,0.3225994110107422,1.0000827741153517
AG-490 (Tyrphostin B42),AZ 960,0.1279582977294922,0.1279315948486328,1.0002087278040344
AG-490 (Tyrphostin B42),Alendronate sodium trihydrate,0.13740158081054688,0.1373729705810547,1.00020826680366
AICAR (Acadesine),AMG-900,0.25716209411621094,0.25713539123535156,1.000103847551794
AICAR (Acadesine),AZ 960,0.13236045837402344,0.1323375701904297,1.00017295302884
AICAR (Acadesine),Alendronate sodium trihydrate,0.11861801147460938,0.11859321594238281,1.0002090805281696
AMG-900,AZ 960,0.2945213317871094,0.29449462890625,1.0000906735751296
AMG-900,Alendronate sodium trihydrate,0.2993297576904297,0.2993049621582031,1.00008284370579
AZ 960,Alendronate sodium trihydrate,0.1547260284423828,0.15469741821289062,1.0001849431608019
