dataset,cell_line,perturbation,moa,n_cells,sil_raw_k2,var_ratio_k2,gap_best_k,gap_k2,gap_k3,gap_k4,gap_k5,sil_raw_kmeans_k2,sil_pca10_kmeans_k2,sil_pca50_kmeans_k2,sil_gmm2_raw,sil_gmm2_pca50,sil_raw_kmeans_bestk3,sil_response_kmeans_k2,sil_raw_kmeans_bestk4,sil_raw_kmeans_bestk5
SciPlex3,K562,Busulfan ,DNA alkylator,120,0.01942344196140766,0.03221914637213535,2,0.8992178450570787,0.8941865277261076,0.8795942927000304,0.8443510257722178,0.01942344196140766,0.11836235225200653,0.02095664292573929,0.01750795915722847,0.03917480260133743,0.015625514090061188,0.01942344382405281,,
SciPlex3,K562,TGX-221,PI3K,120,0.028251297771930695,0.03702177562397028,2,0.8029670004035943,0.7986310804673948,0.777202738826821,0.7775734209736278,0.028251297771930695,0.13764876127243042,0.045008428394794464,0.011379078961908817,0.045008428394794464,,0.028251297771930695,0.01809738017618656,
SciPlex3,K562,ENMD-2076 L-(+)-Tartaric acid ,"Aurora Kinase,FLT3,VEGFR",120,0.0346192792057991,0.04248575289766385,3,0.8061788420049538,0.8313386673867882,0.8151210471574419,0.8131850182188138,0.0346192792057991,0.16025075316429138,0.05496850982308388,0.028881581500172615,0.04869329556822777,0.03129596263170242,0.0346192829310894,,
SciPlex3,K562,Linifanib (ABT-869),"CSF-1R,PDGFR,VEGFR",120,0.03887895122170448,0.04723819514774021,2,0.9230758401413457,0.896771529184857,0.8783699311271818,0.8951996699564209,0.03887895122170448,0.16067862510681152,0.05985554680228233,0.023363811895251274,0.05995533615350723,0.016747422516345978,0.03887895122170448,,
SciPlex3,K562,Resveratrol,"Autophagy,Sirtuin",120,0.02179688774049282,0.029001617809937937,2,0.8296500336810553,0.8189042253285947,0.7940580379265292,0.8055937041677748,0.02179688774049282,0.1291632056236267,0.032749805599451065,0.017503229901194572,0.032749805599451065,0.023375321179628372,0.02179688960313797,,
SciPlex3,K562,"Roscovitine (Seliciclib,CYC202)",CDK,120,0.035984404385089874,0.043280435149956484,2,0.8569482348298738,0.8396811447130634,0.837669979324998,0.8404964812092484,0.035984404385089874,0.1594236046075821,0.057843875139951706,0.046588439494371414,0.057843875139951706,,0.035984404385089874,0.034877266734838486,
SciPlex3,K562,Anacardic Acid,Histone Acetyltransferase,120,0.03770994395017624,0.04018664179162733,2,0.9334527540338264,0.9113946156854009,0.89530898188805,0.8939466126146645,0.03770994395017624,0.15771284699440002,0.06583809107542038,0.011586649343371391,0.058737482875585556,0.029374685138463974,0.03770994395017624,,
SciPlex3,K562,Mesna ,Others,120,0.024728143587708473,0.033240407186944605,3,0.8426690369001886,0.8722169137760503,0.8348342464994065,0.8446085659904004,0.024728143587708473,0.1301984339952469,0.03634469211101532,0.019902635365724564,0.03953271359205246,,0.024728143587708473,,0.021547909826040268
SciPlex3,K562,Droxinostat,HDAC,120,0.03802868351340294,0.038810644345563784,2,0.8995258156234645,0.8664817931639028,0.860617813057253,0.8593869783221937,0.03802868351340294,0.1550968438386917,0.04709867760539055,0.03334369882941246,-1.0,0.018341396003961563,0.03802868351340294,,
SciPlex3,K562,ABT-737,Bcl-2,120,0.03431886434555054,0.04316498611379251,2,0.8597551944385504,0.8510638685129308,0.8388172344860383,0.8386189440739376,0.03431886434555054,0.1569366306066513,0.05385073646903038,0.05985446646809578,-1.0,0.031022870913147926,0.03431886062026024,,
SciPlex3,K562,PJ34,PARP,120,0.03031034581363201,0.03757151512461947,2,0.9068419875000568,0.8927348995208568,0.8975706305375688,0.9041040952487904,0.03031034581363201,0.14489813148975372,0.04806893691420555,0.013211022131145,0.04806893691420555,,0.030310343950986862,,0.022066961973905563
SciPlex3,K562,JNJ-26854165 (Serdemetan),"E3 Ligase ,p53",120,0.03865135461091995,0.04757036809229451,2,0.8192720751329485,0.8194528457869517,0.7962486068087085,0.7980739914322452,0.03865135461091995,0.17272455990314484,0.05969388037919998,0.03757042810320854,0.06005557253956795,,0.03865136206150055,0.01768406108021736,
SciPlex3,K562,A-366,Histone Methyltransferase,120,0.028270743787288666,0.04006525740590265,2,0.8990258081669182,0.8870204432483462,0.8760534824204207,0.8877654896554432,0.028270743787288666,0.14681066572666168,0.05179153010249138,0.06460167467594147,0.05169670656323433,,0.028270743787288666,0.02250954695045948,
SciPlex3,K562,Tacedinaline (CI994),HDAC,120,0.024461086839437485,0.03269131333872027,2,0.9357054598535406,0.9244958554591989,0.8938309792512857,0.9090153978332598,0.024461086839437485,0.13089124858379364,0.04029322415590286,0.011440449394285679,0.0389770083129406,0.017263228073716164,0.024461086839437485,,
SciPlex3,K562,XAV-939,Wnt/beta-catenin,120,0.02929520606994629,0.0302521100078823,2,0.8588869918779434,0.8628762249699697,0.8689978122407638,0.8705699083426595,0.02929520606994629,0.16204823553562164,0.054997384548187256,0.02712910994887352,0.054997384548187256,0.02379520796239376,0.02929520606994629,,
SciPlex3,K562,Meprednisone,Glucocorticoid Receptor,120,0.030286245048046112,0.039041782584185954,2,0.9370577493284244,0.9189283941706154,0.9018918828832323,0.9088776697679997,0.030286245048046112,0.1399625837802887,0.04672550410032272,0.021060606464743614,0.04672550410032272,0.014253145083785057,0.03028624691069126,,
SciPlex3,K562,Triamcinolone Acetonide,Glucocorticoid Receptor,120,0.03377676010131836,0.035954269557314046,2,0.8798432531092555,0.8602159579161697,0.8367778959117267,0.8350192069490063,0.03377676010131836,0.14233742654323578,0.057702843099832535,0.015265379101037979,0.039045076817274094,,0.03377676010131836,,0.013189121149480343
SciPlex3,K562,Pirarubicin,Topoisomerase,120,0.025488365441560745,0.03326145190616223,3,0.8332417393113261,0.8787640052561514,0.8395124885072551,0.8371235381250148,0.025488365441560745,0.14193052053451538,0.04623577371239662,0.02003723569214344,-1.0,,0.025488369166851044,0.0214750487357378,
SciPlex3,K562,MLN8054,Aurora Kinase,120,0.037755195051431656,0.042144615417807195,2,0.9274722244022691,0.9425502212708885,0.9235167418219667,0.9323756703278931,0.037755195051431656,0.16086702048778534,0.058201443403959274,0.04814378172159195,0.07529258728027344,,0.037755195051431656,0.036580849438905716,
SciPlex3,K562,Hesperadin,Aurora Kinase,120,0.03523918613791466,0.0409006801166717,2,0.955782047392816,0.9522455551049802,0.9169070263839281,0.9185330881055211,0.03523918613791466,0.15277865529060364,0.05513683706521988,0.016538597643375397,0.058277811855077744,,0.03523918613791466,0.02294347994029522,
SciPlex3,K562,SB431542,TGF-beta/Smad,120,0.03145454078912735,0.03728703904607203,2,0.8708026038465189,0.8729842986811764,0.863653775446906,0.8956702378013262,0.03145454078912735,0.14432962238788605,0.04809499531984329,0.018141599372029305,0.04809499531984329,,0.03145454078912735,0.021741842851042747,
SciPlex3,K562,Streptozotocin (STZ),DNA alkylator,120,0.02620641328394413,0.03639595247578783,2,0.828364062841759,0.8367093342269616,0.82722539671364,0.812619168689773,0.02620641328394413,0.12873150408267975,0.047035329043865204,0.018287457525730133,-1.0,0.018482360988855362,0.02620641514658928,,
SciPlex3,K562,Alendronate sodium trihydrate,Others,120,0.062389593571424484,0.036957588662598455,3,0.8002436129945671,0.8214752017415048,0.7829268872672515,0.8027582430353473,0.062389593571424484,0.22637155652046204,0.0931982696056366,0.07974782586097717,-1.0,,0.062389593571424484,0.04329604655504227,
SciPlex3,K562,Valproic acid sodium salt (Sodium valproate),"GABA Receptor,HDAC,Autophagy",120,0.02282528765499592,0.030251682741031013,2,0.9068386315552548,0.9125942824195121,0.8984553601027319,0.9139935012169307,0.02282528765499592,0.12320046126842499,0.03562847897410393,0.052772704511880875,-1.0,,0.02282528765499592,0.010129495523869991,
SciPlex3,K562,Mercaptopurine (6-MP),DNA/RNA Synthesis,120,0.028963852673768997,0.037039470583338376,2,0.834150579205426,0.8316865301389846,0.8120098189229115,0.8327834146678672,0.028963852673768997,0.13747848570346832,0.046148721128702164,0.028963852673768997,0.04445097967982292,0.017580486834049225,0.028963850811123848,,
SciPlex3,K562,Tazemetostat (EPZ-6438),Histone Methyltransferase,120,0.03275873512029648,0.033092767877750597,2,0.9053629063930266,0.875443017651822,0.8500690936680488,0.8835519461167323,0.03275873512029648,0.13050739467144012,0.03769475594162941,0.007432575337588787,0.03640906140208244,,0.03275873512029648,0.01669340580701828,
SciPlex3,K562,Azacitidine ,DNA Methyltransferase,120,0.02624126337468624,0.03511914391032235,2,0.9153960138764834,0.8934984857438604,0.8711996874160253,0.8819189060117179,0.02624126337468624,0.1383657604455948,0.04139665886759758,0.022223781794309616,0.04139665886759758,0.017483321949839592,0.02624126337468624,,
SciPlex3,K562,S-Ruxolitinib (INCB018424),JAK,120,0.02235434763133526,0.03553955053197517,2,0.8266711888444647,0.809492047521724,0.8026563889842055,0.8230808588402923,0.02235434763133526,0.13217265903949738,0.04184407368302345,0.0214640311896801,0.04046275466680527,0.024067651480436325,0.02235434763133526,,
SciPlex3,K562,Glesatinib?(MGCD265),"c-Met,Tie-2,VEGFR",120,0.029639458283782005,0.036393260397530214,2,0.8076676086385248,0.8190320014424621,0.7787052981325946,0.8167384346784985,0.029639458283782005,0.1305466741323471,0.04423893243074417,0.021054808050394058,0.04244057834148407,0.027441466227173805,0.029639458283782005,,
SciPlex3,K562,Fulvestrant,Estrogen/progestogen Receptor,120,0.03183169290423393,0.04110706376709816,2,0.9400662359938075,0.917006636281883,0.8936464685193837,0.9124522935419126,0.03183169290423393,0.15200106799602509,0.04796246066689491,0.04441768303513527,-1.0,,0.03183169290423393,0.028992030769586563,
SciPlex3,K562,Sodium Phenylbutyrate,HDAC,120,0.023152250796556473,0.031642431911257415,2,0.874156926909949,0.8809796273126533,0.853430811386497,0.8631115691458646,0.023152250796556473,0.12395084649324417,0.034085456281900406,0.0076355342753231525,0.05702068284153938,0.014709432609379292,0.023152252659201622,,
SciPlex3,K562,AICAR (Acadesine),AMPK,120,0.03494374081492424,0.04575914196317571,2,0.9390633447172227,0.9299305879524304,0.902671502946303,0.9044994680812035,0.03494374081492424,0.15887227654457092,0.0535690039396286,0.030835652723908424,0.0535690039396286,0.03289109840989113,0.03494374454021454,,
SciPlex3,K562,Cyclocytidine HCl,DNA/RNA Synthesis,120,0.06176024675369263,0.04594266672449314,2,0.9296623352283344,0.9306823794845283,0.9187864895314686,0.9210335288282039,0.06176024675369263,0.1633286029100418,0.10223881155252457,0.04768107086420059,-1.0,0.05433540418744087,0.06176024675369263,,
SciPlex3,K562,(+)-JQ1,Epigenetic Reader Domain,120,0.020879002287983894,0.032053152275953,2,0.8834191549768562,0.8466943189718688,0.8621107231693657,0.8601653924211696,0.020879002287983894,0.11480174213647842,0.034002263098955154,0.018473390489816666,0.03417994827032089,0.006863145157694817,0.020879002287983894,,
SciPlex3,K562,SRT2104 (GSK2245840),Sirtuin,120,0.029437968507409096,0.03789869298211656,2,0.8924226075129624,0.8831723428729834,0.8582868096567378,0.8702330523257746,0.029437968507409096,0.15708211064338684,0.04800712317228317,0.02520301192998886,0.0463433712720871,0.02296403981745243,0.029437968507409096,,
SciPlex3,K562,NVP-BSK805 2HCl,JAK,120,0.028329068794846535,0.03774715391845204,2,0.904840454274698,0.8851864397869367,0.870587996931178,0.8852920731861751,0.028329068794846535,0.1580885499715805,0.052468281239271164,0.029335489496588707,0.049543485045433044,0.011647182516753674,0.028329070657491684,,
SciPlex3,K562,Danusertib (PHA-739358),"Aurora Kinase,Bcr-Abl,c-RET,FGFR",120,0.03716902807354927,0.04696824239427284,2,0.9203995257351085,0.9151346855833893,0.9047412144157239,0.9047075977457801,0.03716902807354927,0.15992680191993713,0.05760534480214119,0.03841875493526459,0.05760534480214119,0.02559409849345684,0.03716902807354927,,
SciPlex3,K562,MC1568,HDAC,120,0.032632675021886826,0.030015690934403323,2,0.8605034544596037,0.8640401782836484,0.7934605499194678,0.8392858353325341,0.032632675021886826,0.1549927145242691,0.05395031347870827,0.004131249617785215,-1.0,0.015258249826729298,0.032632675021886826,,
SciPlex3,K562,IOX2,HIF,120,0.0318538099527359,0.039584019749667965,2,0.914518026694072,0.9041758990198208,0.8616206002013254,0.8866322861091618,0.0318538099527359,0.14845895767211914,0.04787454754114151,0.010629737749695778,0.047499045729637146,,0.0318538099527359,0.009527979418635368,
SciPlex3,K562,UNC1999,Histone Methyltransferase,120,0.026299921795725822,0.03348548353799906,2,0.9221316061482021,0.9134851497859806,0.8930146880371606,0.8914649565069723,0.026299921795725822,0.1333041787147522,0.04317869246006012,0.016834378242492676,0.04086627811193466,0.01247833389788866,0.026299919933080673,,
SciPlex3,K562,Ivosidenib (AG-120),IDH1,120,0.031606271862983704,0.03985227904429309,2,0.910802860996748,0.8983032460964893,0.8563522119122382,0.8747544398543123,0.031606271862983704,0.15672968327999115,0.04881729930639267,0.030495643615722656,0.0500078909099102,0.022839605808258057,0.031606271862983704,,
SciPlex3,K562,BMS-265246,CDK,120,0.04720233008265495,0.05439962097575209,2,0.848839435420059,0.8541256302798903,0.8513280826016469,0.8322420436148299,0.04720233008265495,0.19995084404945374,0.07997236400842667,0.030926764011383057,0.07001374661922455,0.013770757243037224,0.04720233008265495,,
SciPlex3,K562,WHI-P154,"EGFR,JAK",120,0.019080765545368195,0.03186560981538319,2,0.8788423112022379,0.8714037507351637,0.872747162654063,0.8670633224168949,0.019080765545368195,0.12751860916614532,0.045404933393001556,0.011766928248107433,0.045404933393001556,,0.019080763682723045,0.019165417179465294,
SciPlex3,K562,PF-3845,FAAH,120,0.029019121080636978,0.0364907236364219,2,0.8539328691217918,0.8513268567687646,0.8315173197840977,0.8108402004339386,0.029019121080636978,0.13478168845176697,0.046444542706012726,0.019943201914429665,0.034719038754701614,0.01817053183913231,0.029019121080636978,,
SciPlex3,K562,Cimetidine ,Histamine Receptor,120,0.01826595887541771,0.033451776561055864,3,0.8425377261054017,0.8620789322137519,0.8379486812382844,0.848766844199421,0.01826595887541771,0.12657852470874786,0.040173403918743134,0.04044467210769653,-1.0,0.021359022706747055,0.01826595887541771,,
SciPlex3,K562,Aminoglutethimide ,Aromatase,120,0.03439880907535553,0.04428836751693249,3,0.8847189020909365,0.9075340368443197,0.8856510929227159,0.8932005183295271,0.03439880907535553,0.16563460230827332,0.06193237379193306,0.025547711178660393,0.061599377542734146,0.03131420537829399,0.03439880907535553,,
SciPlex3,K562,PF-573228,FAK,120,0.03361064940690994,0.04037143557222132,2,0.8458657157552896,0.7976901066898865,0.7850884851864208,0.8165139336925442,0.03361064940690994,0.14646781980991364,0.05683864280581474,0.05450261011719704,0.05683864280581474,0.02012116089463234,0.03361065313220024,,
SciPlex3,K562,Raltitrexed,DNA/RNA Synthesis,120,0.03778785839676857,0.04112053807606913,2,0.8903263796907392,0.8744570454065368,0.8720956125998338,0.8472384749189406,0.03778785839676857,0.15300068259239197,0.05816863477230072,0.029490705579519272,0.06014074385166168,0.022383423522114754,0.03778785839676857,,
SciPlex3,K562,RG108,DNA Methyltransferase,120,0.043642543256282806,0.04227060554471931,2,0.8977093862604182,0.884437357909782,0.8653206363021138,0.859660930485898,0.043642543256282806,0.15980695188045502,0.05299399793148041,0.025865616276860237,0.05299399793148041,0.02594602294266224,0.043642543256282806,,
SciPlex3,K562,YM155 (Sepantronium Bromide),Survivin,120,0.09196359664201736,0.08470549860288899,2,0.9650186242656105,0.9501958523559058,0.9324006719732676,0.9211374127880827,0.09196359664201736,0.27085915207862854,0.13078661262989044,0.009427779354155064,0.13032744824886322,0.0908701941370964,0.09196359664201736,,
SciPlex3,K562,PD173074,"FGFR,VEGFR",120,0.028180953115224838,0.0354201760476585,2,0.8999136177812783,0.8874350831014102,0.8540539025377694,0.8518320246384352,0.028180953115224838,0.13954967260360718,0.04855259507894516,0.023132512345910072,0.04855259507894516,,0.028180954977869987,0.02087840624153614,
SciPlex3,K562,Lenalidomide (CC-5013),TNF-alpha,120,0.029112564399838448,0.038897921041398636,2,0.9010587554726346,0.8940582151140077,0.8738009165590572,0.891281186151609,0.029112564399838448,0.13952858746051788,0.05057933181524277,0.03651733323931694,-1.0,0.02624218538403511,0.029112564399838448,,
SciPlex3,K562,Sirtinol,Sirtuin,120,0.0184993464499712,0.028675958695929066,2,0.894887805106972,0.8801224329216684,0.8695250815672093,0.8767894830666716,0.0184993464499712,0.12161897122859955,0.036644380539655685,0.00805141031742096,0.04126453027129173,,0.01849934831261635,0.024652643129229546,
