test,drug,n_cells,metric,mean,std,cv,min,max
same_drug_self,UNC0379,30,energy_distance,1.7921937942504882,0.10822434739461423,0.060386520554756545,1.5783576965332031,2.1065807342529297
same_drug_self,UNC0379,30,mean_cosine,0.08375300649553537,0.09590940176521051,1.1451457777855791,-0.1653653234243393,0.2580590844154358
same_drug_self,UNC0379,60,energy_distance,0.9113328933715821,0.04677982293149106,0.05133121307453708,0.8302211761474609,1.015645980834961
same_drug_self,UNC0379,60,mean_cosine,0.14158066876698286,0.09784730491263306,0.6911063901928073,-0.07236261665821075,0.30778443813323975
same_drug_self,UNC0379,120,energy_distance,0.46494197845458984,0.02914316128570984,0.06268128634583209,0.40648460388183594,0.5234355926513672
same_drug_self,UNC0379,120,mean_cosine,0.22510079950094222,0.0783626046679237,0.3481222849570363,0.0794200599193573,0.41404375433921814
same_drug_self,UNC0379,200,energy_distance,0.2883319473266602,0.008353923719341825,0.02897328512083819,0.2701683044433594,0.30855751037597656
same_drug_self,UNC0379,200,mean_cosine,0.30971516132354737,0.040755871413786275,0.1315914637165928,0.1987798810005188,0.38402101397514343
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),30,energy_distance,1.8087656784057617,0.11485482355551023,0.06349900649195354,1.5697593688964844,2.1018753051757812
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),30,mean_cosine,0.03705935445614159,0.08482524983063904,2.28890252071246,-0.11870084702968597,0.2166108936071396
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),60,energy_distance,0.918719253540039,0.056795195065333856,0.06181996822912849,0.8113479614257812,1.0721015930175781
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),60,mean_cosine,0.07658851132728159,0.08265988116978447,1.0792725924200095,-0.0878867357969284,0.3093236982822418
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),120,energy_distance,0.4757485580444336,0.03390548714074113,0.07126766138842286,0.41725921630859375,0.5730438232421875
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),120,mean_cosine,0.13180140459910036,0.08409775059149176,0.6380641454261542,-0.022032424807548523,0.29476645588874817
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),200,energy_distance,0.2940618896484375,0.015262170348512502,0.05190121836855168,0.26655006408691406,0.33515167236328125
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),200,mean_cosine,0.20237247303128242,0.06296967569728044,0.3111573167737427,0.06301338225603104,0.3427766263484955
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),300,energy_distance,0.21051822662353514,0.011737228583595008,0.05575397803718165,0.18406295776367188,0.23668861389160156
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),300,mean_cosine,0.24371707066893578,0.06479618207494191,0.26586640770420533,0.08660867810249329,0.389964759349823
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),480,energy_distance,0.14333763122558593,2.4425980519992252e-06,1.704087078260031e-05,0.14333152770996094,0.143341064453125
cross_drug,UNC0379_vs_JNJ-26854165 (Serdemetan),480,mean_cosine,0.32027457416057586,1.952532079527512e-07,6.096431740312212e-07,0.3202741742134094,0.320275217294693
ranking_stability,query=UNC0379,30,energy_top1_stability,0.28,0.0,0.72,0.0,0.0
ranking_stability,query=UNC0379,30,cosine_top1_stability,0.36,0.0,0.64,0.0,0.0
ranking_stability,query=UNC0379,60,energy_top1_stability,0.52,0.0,0.48,0.0,0.0
ranking_stability,query=UNC0379,60,cosine_top1_stability,0.5,0.0,0.5,0.0,0.0
ranking_stability,query=UNC0379,120,energy_top1_stability,0.72,0.0,0.28,0.0,0.0
ranking_stability,query=UNC0379,120,cosine_top1_stability,0.72,0.0,0.28,0.0,0.0
ranking_stability,query=UNC0379,200,energy_top1_stability,0.86,0.0,0.14,0.0,0.0
ranking_stability,query=UNC0379,200,cosine_top1_stability,0.9,0.0,0.09999999999999998,0.0,0.0
ranking_stability,query=UNC0379,300,energy_top1_stability,0.94,0.0,0.06000000000000005,0.0,0.0
ranking_stability,query=UNC0379,300,cosine_top1_stability,0.96,0.0,0.040000000000000036,0.0,0.0
ranking_stability,query=UNC0379,480,energy_top1_stability,1.0,0.0,0.0,0.0,0.0
ranking_stability,query=UNC0379,480,cosine_top1_stability,1.0,0.0,0.0,0.0,0.0
