seed,n_per_source,acc_kmeans_k2,acc_gmm_k2,acc_leiden,acc_hdbscan,best_unsup,ceiling_infold,ceiling_infold_auc,ceiling_matched,ceiling_matched_auc,sup_linear,sup_forest,sup_knn,gap_infold,gap_matched,arm,unit,patient,compartment,drug_a,drug_b
0,150,0.69,0.71,0.6966666666666667,0.5,0.71,0.74,0.7994222222222223,0.7266666666666667,0.7930666666666667,0.7266666666666667,0.72,0.6466666666666666,0.030000000000000027,0.01666666666666672,constructed_class,K562 HDAC-class vs JAK-class (pooled),-,K562,HDAC-class,JAK-class
1,150,0.6533333333333333,0.67,0.7066666666666667,0.5,0.7066666666666667,0.7466666666666667,0.7976888888888889,0.71,0.7852444444444444,0.71,0.68,0.6333333333333333,0.040000000000000036,0.0033333333333332993,constructed_class,K562 HDAC-class vs JAK-class (pooled),-,K562,HDAC-class,JAK-class
2,150,0.5966666666666667,0.6366666666666667,0.6866666666666666,0.5566666666666666,0.6866666666666666,0.63,0.6613333333333333,0.6466666666666666,0.6814,0.61,0.6466666666666666,0.5766666666666667,-0.05666666666666664,-0.040000000000000036,constructed_class,K562 HDAC-class vs JAK-class (pooled),-,K562,HDAC-class,JAK-class
3,150,0.64,0.65,0.6733333333333333,0.5,0.6733333333333333,0.7,0.7448,0.6866666666666666,0.7377333333333334,0.6866666666666666,0.6266666666666667,0.6133333333333333,0.026666666666666616,0.013333333333333308,constructed_class,K562 HDAC-class vs JAK-class (pooled),-,K562,HDAC-class,JAK-class
4,150,0.6366666666666667,0.64,0.6666666666666666,0.5,0.6666666666666666,0.7066666666666667,0.7595555555555555,0.7,0.7585999999999999,0.66,0.7,0.5933333333333334,0.040000000000000036,0.033333333333333326,constructed_class,K562 HDAC-class vs JAK-class (pooled),-,K562,HDAC-class,JAK-class
0,100,0.75,0.74,0.81,0.5,0.81,0.87,0.9518,0.87,0.9539,0.87,0.86,0.805,0.05999999999999994,0.05999999999999994,constructed_drug,K562 AR-42 vs TG101209,-,K562,AR-42,TG101209
1,100,0.76,0.73,0.81,0.5,0.81,0.885,0.9536,0.875,0.9585,0.875,0.86,0.74,0.07499999999999996,0.06499999999999995,constructed_drug,K562 AR-42 vs TG101209,-,K562,AR-42,TG101209
2,100,0.75,0.76,0.79,0.5,0.79,0.86,0.9503999999999999,0.855,0.9462,0.855,0.835,0.705,0.06999999999999995,0.06499999999999995,constructed_drug,K562 AR-42 vs TG101209,-,K562,AR-42,TG101209
3,100,0.765,0.72,0.795,0.5,0.795,0.86,0.9509,0.885,0.9609,0.885,0.815,0.755,0.06499999999999995,0.08999999999999997,constructed_drug,K562 AR-42 vs TG101209,-,K562,AR-42,TG101209
4,100,0.755,0.755,0.79,0.5,0.79,0.88,0.9463999999999999,0.885,0.938,0.885,0.86,0.765,0.08999999999999997,0.09499999999999997,constructed_drug,K562 AR-42 vs TG101209,-,K562,AR-42,TG101209
0,96,0.8541666666666666,0.859375,0.8697916666666666,0.5,0.8697916666666666,0.8854166666666666,0.9462890625,0.8802083333333334,0.9444444444444444,0.8541666666666666,0.8802083333333334,0.5364583333333334,0.015625,0.01041666666666674,constructed_drug,K562 Abexinostat (PCI-24781) vs WP1066,-,K562,Abexinostat (PCI-24781),WP1066
1,96,0.8854166666666666,0.875,0.875,0.5,0.8854166666666666,0.9010416666666666,0.946506076388889,0.9114583333333334,0.9476996527777778,0.8541666666666666,0.9114583333333334,0.5416666666666666,0.015625,0.02604166666666674,constructed_drug,K562 Abexinostat (PCI-24781) vs WP1066,-,K562,Abexinostat (PCI-24781),WP1066
2,96,0.8645833333333334,0.875,0.8229166666666666,0.5,0.875,0.8958333333333334,0.9482964409722222,0.9010416666666666,0.9501410590277778,0.8802083333333334,0.9010416666666666,0.5833333333333334,0.02083333333333337,0.02604166666666663,constructed_drug,K562 Abexinostat (PCI-24781) vs WP1066,-,K562,Abexinostat (PCI-24781),WP1066
3,96,0.8854166666666666,0.8802083333333334,0.890625,0.5,0.890625,0.8958333333333334,0.957736545138889,0.9114583333333334,0.9568142361111112,0.8177083333333334,0.9114583333333334,0.5572916666666666,0.00520833333333337,0.02083333333333337,constructed_drug,K562 Abexinostat (PCI-24781) vs WP1066,-,K562,Abexinostat (PCI-24781),WP1066
4,96,0.875,0.875,0.8645833333333334,0.5,0.875,0.9010416666666666,0.9378255208333334,0.8958333333333334,0.9553493923611112,0.8177083333333334,0.8958333333333334,0.5520833333333334,0.02604166666666663,0.02083333333333337,constructed_drug,K562 Abexinostat (PCI-24781) vs WP1066,-,K562,Abexinostat (PCI-24781),WP1066
0,89,0.651685393258427,0.6629213483146067,0.7528089887640449,0.5,0.7528089887640449,0.8651685393258427,0.9349829566973866,0.8651685393258427,0.9323317762908724,0.8651685393258427,0.8258426966292135,0.6460674157303371,0.1123595505617978,0.1123595505617978,constructed_drug,K562 Belinostat (PXD101) vs FLLL32,-,K562,Belinostat (PXD101),FLLL32
1,89,0.6573033707865169,0.6629213483146067,0.8033707865168539,0.5,0.8033707865168539,0.8539325842696629,0.9236207549551825,0.8707865168539326,0.9308168160585785,0.8258426966292135,0.8707865168539326,0.5674157303370787,0.050561797752809,0.0674157303370787,constructed_drug,K562 Belinostat (PXD101) vs FLLL32,-,K562,Belinostat (PXD101),FLLL32
2,89,0.6797752808988764,0.6910112359550562,0.7584269662921348,0.5,0.7584269662921348,0.8764044943820225,0.9409165509405378,0.8426966292134831,0.9280393889660397,0.8426966292134831,0.8314606741573034,0.6123595505617978,0.1179775280898877,0.0842696629213483,constructed_drug,K562 Belinostat (PXD101) vs FLLL32,-,K562,Belinostat (PXD101),FLLL32
3,89,0.6629213483146067,0.6685393258426966,0.7584269662921348,0.5,0.7584269662921348,0.898876404494382,0.9382653705340236,0.9044943820224719,0.9380760005049866,0.848314606741573,0.9044943820224719,0.6235955056179775,0.1404494382022472,0.1460674157303371,constructed_drug,K562 Belinostat (PXD101) vs FLLL32,-,K562,Belinostat (PXD101),FLLL32
4,89,0.6348314606741573,0.6741573033707865,0.7303370786516854,0.5,0.7303370786516854,0.8707865168539326,0.9327105163489458,0.8707865168539326,0.9357404368135337,0.8370786516853933,0.8707865168539326,0.6460674157303371,0.1404494382022472,0.1404494382022472,constructed_drug,K562 Belinostat (PXD101) vs FLLL32,-,K562,Belinostat (PXD101),FLLL32
