patient,seed,n_per_compartment,acc_kmeans_k2,acc_gmm_k2,acc_leiden,acc_hdbscan,probe_linear_acc,probe_forest_acc,probe_knn_acc,probe_acc
PW030,0,200,0.8975,0.8925,0.925,0.8775,0.9325,0.945,0.7025,0.945
PW030,1,200,0.915,0.935,0.95,0.8675,0.9575,0.955,0.7575,0.9575
PW030,2,200,0.9375,0.9425,0.9425,0.8975,0.9475,0.945,0.755,0.9475
PW030,3,200,0.91,0.9225,0.95,0.8775,0.965,0.9625,0.81,0.965
PW030,4,200,0.91,0.9225,0.945,0.8975,0.95,0.9575,0.6925,0.9575
PW030,5,200,0.8975,0.9275,0.9325,0.875,0.96,0.9525,0.7725,0.96
PW030,6,200,0.89,0.9075,0.925,0.895,0.93,0.9325,0.7075,0.9325
PW030,7,200,0.9125,0.9125,0.9525,0.9075,0.9525,0.9425,0.7725,0.9525
PW030,8,200,0.9025,0.9175,0.935,0.8375,0.95,0.935,0.79,0.95
PW030,9,200,0.9125,0.9475,0.945,0.8575,0.955,0.94,0.735,0.955
PW031,0,200,0.9825,0.9925,0.99,0.5,0.99,0.99,0.52,0.99
PW031,1,200,0.985,0.9925,0.99,0.5,0.9925,0.99,0.53,0.9925
PW031,2,200,0.9825,0.9925,0.9925,0.5,0.9925,0.9925,0.525,0.9925
PW031,3,200,0.98,0.99,0.99,0.5,0.99,0.9875,0.5325,0.99
PW031,4,200,0.985,0.9975,0.99,0.5,0.9925,0.9925,0.525,0.9925
PW031,5,200,0.98,0.985,0.9825,0.5,0.985,0.985,0.53,0.985
PW031,6,200,0.98,0.9875,0.99,0.5,0.9875,0.99,0.525,0.99
PW031,7,200,0.9825,0.99,0.99,0.5,0.9925,0.99,0.5275,0.9925
PW031,8,200,0.9775,0.9925,0.99,0.5,0.99,0.99,0.53,0.99
PW031,9,200,0.9875,0.9925,0.9825,0.5,0.9925,0.99,0.5275,0.9925
PW032,0,200,0.92,0.945,0.94,0.825,0.9325,0.9425,0.67,0.9425
PW032,1,200,0.905,0.915,0.8925,0.5,0.9325,0.9275,0.6225,0.9325
PW032,2,200,0.93,0.9425,0.9225,0.5,0.9525,0.95,0.5875,0.9525
PW032,3,200,0.9225,0.9375,0.9325,0.5,0.9475,0.9375,0.595,0.9475
PW032,4,200,0.915,0.925,0.9025,0.8725,0.945,0.945,0.655,0.945
PW032,5,200,0.9125,0.9425,0.9,0.835,0.9325,0.94,0.6025,0.94
PW032,6,200,0.925,0.935,0.93,0.8175,0.9525,0.945,0.6625,0.9525
PW032,7,200,0.895,0.92,0.8875,0.5,0.925,0.9,0.5725,0.925
PW032,8,200,0.88,0.9075,0.88,0.5,0.9025,0.9075,0.6225,0.9075
PW032,9,200,0.9175,0.93,0.9175,0.5,0.9275,0.935,0.55,0.935
PW034,0,200,0.8725,0.92,0.8775,0.5,0.94,0.9225,0.51,0.94
PW034,1,200,0.89,0.93,0.925,0.5,0.9375,0.93,0.51,0.9375
PW034,2,200,0.8925,0.915,0.885,0.5,0.9425,0.93,0.51,0.9425
PW034,3,200,0.8925,0.9425,0.915,0.5,0.9475,0.94,0.505,0.9475
PW034,4,200,0.8875,0.925,0.905,0.5,0.9475,0.9225,0.5025,0.9475
PW034,5,200,0.89,0.9325,0.9025,0.5,0.9425,0.9525,0.505,0.9525
PW034,6,200,0.8875,0.925,0.91,0.5,0.9475,0.94,0.5,0.9475
PW034,7,200,0.89,0.9425,0.92,0.5,0.9425,0.9425,0.5075,0.9425
PW034,8,200,0.9,0.9225,0.91,0.5,0.94,0.9325,0.5125,0.94
PW034,9,200,0.88,0.91,0.91,0.5,0.9225,0.915,0.5075,0.9225
PW036,0,200,0.9225,0.9325,0.88,0.5,0.9225,0.935,0.53,0.935
PW036,1,200,0.8975,0.9125,0.88,0.5,0.9275,0.9175,0.5575,0.9275
PW036,2,200,0.9275,0.94,0.92,0.9225,0.945,0.9325,0.56,0.945
PW036,3,200,0.915,0.9225,0.89,0.915,0.9375,0.92,0.58,0.9375
PW036,4,200,0.91,0.9325,0.91,0.9225,0.9375,0.9325,0.525,0.9375
PW036,5,200,0.9275,0.94,0.93,0.94,0.9525,0.945,0.55,0.9525
PW036,6,200,0.8925,0.895,0.8875,0.8875,0.93,0.9,0.5525,0.93
PW036,7,200,0.945,0.94,0.93,0.935,0.95,0.9325,0.5425,0.95
PW036,8,200,0.9,0.9225,0.89,0.5,0.94,0.93,0.53,0.94
PW036,9,200,0.9075,0.925,0.895,0.91,0.93,0.925,0.545,0.93
PW040,0,200,0.9625,0.975,0.9575,0.97,0.9775,0.9725,0.51,0.9775
PW040,1,200,0.965,0.9875,0.955,0.9675,0.98,0.985,0.505,0.985
PW040,2,200,0.965,0.9725,0.9475,0.9675,0.965,0.975,0.5175,0.975
PW040,3,200,0.9575,0.975,0.94,0.9675,0.9675,0.97,0.5025,0.97
PW040,4,200,0.97,0.98,0.9625,0.9675,0.9775,0.975,0.5175,0.9775
PW040,5,200,0.975,0.985,0.9575,0.9775,0.9825,0.98,0.5,0.9825
PW040,6,200,0.9575,0.9675,0.9525,0.965,0.98,0.97,0.5,0.98
PW040,7,200,0.9575,0.9575,0.9475,0.5,0.97,0.975,0.505,0.975
PW040,8,200,0.965,0.975,0.96,0.975,0.98,0.9775,0.51,0.98
PW040,9,200,0.97,0.985,0.9725,0.9775,0.985,0.98,0.51,0.985
PW051,0,200,0.965,0.98,0.955,0.975,0.9825,0.995,0.5075,0.995
PW051,1,200,0.9825,0.99,0.975,0.9775,0.99,0.9925,0.5,0.9925
PW051,2,200,0.9675,0.9825,0.95,0.975,0.985,0.9825,0.505,0.985
PW051,3,200,0.9675,0.98,0.9525,0.9725,0.9825,0.9925,0.505,0.9925
PW051,4,200,0.975,0.985,0.9675,0.98,0.9875,0.99,0.5,0.99
PW051,5,200,0.9575,0.9575,0.95,0.95,0.975,0.985,0.505,0.985
PW051,6,200,0.9725,0.9925,0.96,0.9775,0.9875,0.99,0.5025,0.99
PW051,7,200,0.96,0.975,0.95,0.9625,0.975,0.985,0.5025,0.985
PW051,8,200,0.9825,0.9875,0.9775,0.9825,0.9875,0.9875,0.515,0.9875
PW051,9,200,0.98,0.985,0.9725,0.9875,0.995,0.995,0.5,0.995
PW053,0,200,0.9175,0.92,0.975,0.5,0.975,0.97,0.54,0.975
PW053,1,200,0.915,0.9175,0.955,0.5,0.9625,0.9575,0.5325,0.9625
PW053,2,200,0.9375,0.935,0.9825,0.5,0.985,0.9775,0.5375,0.985
