patient,drug_a,drug_b,cos_mean_signature,cos_malignant_response,cos_myeloid_response
PW030,Ana-12,Ispenisib,0.7849463820457458,0.6997248530387878,0.810111939907074
PW030,Ana-12,RO4929097,0.8155962824821472,0.6662423014640808,0.7392321825027466
PW030,Ana-12,Tazemetostat,0.7956900000572205,0.7874625325202942,0.7726572751998901
PW030,Ana-12,etoposide,0.548266589641571,0.32460954785346985,0.6478540301322937
PW030,Ana-12,panobinostat,0.17800535261631012,0.07732443511486053,0.2486192286014557
PW030,Ispenisib,RO4929097,0.7312188148498535,0.6825290322303772,0.7002043724060059
PW030,Ispenisib,Tazemetostat,0.8166331052780151,0.7798597812652588,0.7848334908485413
PW030,Ispenisib,etoposide,0.5414411425590515,0.5398884415626526,0.5485437512397766
PW030,Ispenisib,panobinostat,0.32737499475479126,0.4083201587200165,0.262063205242157
PW030,RO4929097,Tazemetostat,0.7623654007911682,0.6575654745101929,0.6188356280326843
PW030,RO4929097,etoposide,0.38291633129119873,0.4373452961444855,0.4130835235118866
PW030,RO4929097,panobinostat,0.2025788426399231,0.27508798241615295,0.17579376697540283
PW030,Tazemetostat,etoposide,0.44502946734428406,0.3416993319988251,0.49528825283050537
PW030,Tazemetostat,panobinostat,0.4253697395324707,0.3494303524494171,0.4659605622291565
PW030,etoposide,panobinostat,0.4054688811302185,0.5574225783348083,0.31833595037460327
PW032,etoposide,panobinostat,0.3393753468990326,0.2576884925365448,0.4292681813240051
PW034,etoposide,panobinostat,0.001624637981876731,0.020216012373566628,0.16044750809669495
PW036,etoposide,panobinostat,-0.09531647711992264,0.18162445724010468,-0.1057417094707489
